email_id,subject,true_label,predicted_label,reasoning,error,raw_response
15,PAPER 26,0,LEGITIMATE,"The email discusses copyright law and legal cases in a thoughtful and informative manner, resembling an academic analysis rather than a phishing attempt.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses copyright law and legal cases in a thoughtful and informative manner, resembling an academic analysis rather than a phishing attempt.""}"
16,[zzzzteana] Man admits Soham kidnapping hoax calls,0,LEGITIMATE,The email appears to be a legitimate news article from Yahoo! Groups about a real event.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate news article from Yahoo! Groups about a real event.""}"
17,Navigation buttons do not show,0,LEGITIMATE,The email describes a technical issue with a slideshow on a website and requests help. It lacks any suspicious links or requests for personal information.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email describes a technical issue with a slideshow on a website and requests help. It lacks any suspicious links or requests for personal information.""}"
18,"[DMDX] write to output file, disk full",0,LEGITIMATE,The email appears to be a genuine request for technical assistance regarding a software issue.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine request for technical assistance regarding a software issue.""}"
19,research library needed for netco,0,PHISHING,"The email requests sensitive information (source code, documentation) and uses unprofessional language and formatting.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email requests sensitive information (source code, documentation) and uses unprofessional language and formatting.""}"
20,Re: Multiple .pinerc's spawned,0,PHISHING,"The email contains suspicious code and a nonsensical scenario, suggesting malicious intent.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains suspicious code and a nonsensical scenario, suggesting malicious intent.""}"
21,VERIFY YOUR ACCOUNT,1,PHISHING,"The email contains common phishing hallmarks such as urgent language, threats of account suspension, and a generic greeting. The request to 'verify your account' through a button is suspicious and likely leads to a fake website.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains common phishing hallmarks such as urgent language, threats of account suspension, and a generic greeting. The request to 'verify your account' through a button is suspicious and likely leads to a fake website.""}"
22,Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,0,LEGITIMATE,The email appears to be a genuine discussion on a mailing list about configuring a plugin for the SquirrelMail email client.,,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a genuine discussion on a mailing list about configuring a plugin for the SquirrelMail email client.""
}
```"
23,Re: [Python-Dev] thoughts on having EOFError inherit from	EnvironmentError?,0,LEGITIMATE,This appears to be a legitimate discussion on the Python-Dev mailing list about a programming language feature.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""This appears to be a legitimate discussion on the Python-Dev mailing list about a programming language feature.""}"
24,"For you  color=""#006638""",1,PHISHING,"The email contains suspicious links, unusual formatting, and spammy language, all indicative of a phishing attempt.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains suspicious links, unusual formatting, and spammy language, all indicative of a phishing attempt.""
}
```"
25,Windows Home Server,1,PHISHING,The email promotes software downloads with suspicious domain and includes unrelated text about al-Qaida.,,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email promotes software downloads with suspicious domain and includes unrelated text about al-Qaida.""
}
```"
26,Re: skip extensions,0,LEGITIMATE,"The email discusses technical details about XML element ordering and metadata processing, consistent with a legitimate technical forum discussion.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses technical details about XML element ordering and metadata processing, consistent with a legitimate technical forum discussion.""}"
27,=?UTF-8?B?UmUgOiBbIFN1bW1hcnkgUmVwb3J0IEFsZXJ0IF0gOiBOZXcgU3RhdGVtZW50IFVwZGF0ZSBBY2NvdW50IFN1Ym1pdHRlZCB0byBVcGRhdGVkIEluZm9ybWF0aW9u?=,1,PHISHING,"The email uses scare tactics, demands immediate action, and includes a generic link that is likely not a legitimate Apple URL.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics, demands immediate action, and includes a generic link that is likely not a legitimate Apple URL.""}"
28,this is a great article : material lead to divorce,1,PHISHING,The email contains nonsensical text and a suspicious call to action to 'scan your computer'. This is a common tactic used in phishing emails to trick recipients into downloading malware.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains nonsensical text and a suspicious call to action to 'scan your computer'. This is a common tactic used in phishing emails to trick recipients into downloading malware.""}"
29,Re: Bogus MX -> blacklist service viable?,0,LEGITIMATE,The email appears to be a genuine discussion about a potential service for gathering data on malicious MX records.,,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a genuine discussion about a potential service for gathering data on malicious MX records.""
}
```"
30,This is it. (from Meredith),1,PHISHING,"The email contains nonsensical and incoherent text, which is a common characteristic of phishing emails designed to distract and deceive.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains nonsensical and incoherent text, which is a common characteristic of phishing emails designed to distract and deceive.""
}
```"
31,re : timelines and restart issues,0,PHISHING,"The email contains grammatical errors and informal language, which is typical of phishing attempts.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains grammatical errors and informal language, which is typical of phishing attempts.""}"
32,Re: [Python-3000] lambda,0,LEGITIMATE,This is a discussion on a Python mailing list about the syntax of lambda functions.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""This is a discussion on a Python mailing list about the syntax of lambda functions.""}"
33,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,1,PHISHING,The email uses scare tactics about a virus and includes suspicious file names and paths.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics about a virus and includes suspicious file names and paths.""}"
34,Re: [opensuse] Warning - 10.3/XGL repository has compiz/emerald version mismatch,0,LEGITIMATE,The email appears to be a genuine conversation between individuals discussing a bug report on a software project.,,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a genuine conversation between individuals discussing a bug report on a software project.""
}
```"
35,"For you  color=""#006678""",1,PHISHING,"The email contains suspicious links, random text, and grammatical errors, all common indicators of a phishing attempt.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains suspicious links, random text, and grammatical errors, all common indicators of a phishing attempt.""
}
```"
36,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,1,PHISHING,The email uses scare tactics about a virus and directs the recipient to a suspicious location.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics about a virus and directs the recipient to a suspicious location.""}"
37,Need Simple IC editor,0,LEGITIMATE,The email discusses legitimate programming and electronics topics and seeks help with basic software tools.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses legitimate programming and electronics topics and seeks help with basic software tools.""}"
38,LP RELEASE: Outrageous military spending,0,LEGITIMATE,"The email appears to be a legitimate press release from the Libertarian Party, complete with contact information and a PGP signature.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate press release from the Libertarian Party, complete with contact information and a PGP signature.""}"
39,"You Can Enlarge Your Penis By 3"" Compare Top 5 Penis Enlargers",1,PHISHING,The email promotes a product with unrealistic claims and uses suggestive language to exploit insecurities.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email promotes a product with unrealistic claims and uses suggestive language to exploit insecurities.""}"
40,WINNING NOTIFICATION....................NATIONAL LOTTERY...,1,PHISHING,"Classic phishing email with grammatical errors, unrealistic winnings, and requests for personal information.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""Classic phishing email with grammatical errors, unrealistic winnings, and requests for personal information.""
}
```"
41,cusip,0,PHISHING,"The email contains suspicious language and formatting, requesting sensitive financial information (Cusip) without context or proper identification.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains suspicious language and formatting, requesting sensitive financial information (Cusip) without context or proper identification.""}"
42,04/09/2022 04:39:51 pm :Wells Fargo: You Have A Notification!,1,PHISHING,Requests for personal information via attachment and urgent language are common phishing tactics.,,"{""classification"": ""PHISHING"", ""reasoning"": ""Requests for personal information via attachment and urgent language are common phishing tactics.""}"
43,NedBank Account Statement 18-10-12,1,PHISHING,,JSON_PARSE_FAILED_BUT_RECOVERED,"10 4000 The message sent to your mobile device has timed out. You can:Click on Cancel to return to your Internet Banking orClick on Resend to resend the message to your mobile device.If you have any queries contact 0860 555 111 or +2711 710 4000 Busy making a connection to your phone... A technical error occured.If you have any queries contact 0860 555 111 or +2711 710 4000 You canceled on your phone. You can:Click on Cancel to return to your Internet Banking orClick on Resend to resend the message to your mobile device.If you have any queries contact 0860 555 111 or +2711 710 4000



{""classification"": ""PHISHING"", ""reasoning"": ""The email contains several red flags common in phishing attempts:\n- Generic greeting (\""Dear Customer\"")\n- Urgent and threatening language (\""undeliverable\"", \""cease to send\"")\n- Request for sensitive information ("
44,Order Shipping Confirmation #991-4958216-1093584,1,LEGITIMATE,"The email has a plausible Amazon order confirmation format, includes order details, and provides contact information consistent with Amazon.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email has a plausible Amazon order confirmation format, includes order details, and provides contact information consistent with Amazon.""}"
45,Big Five record companies guilty of price fixing,0,LEGITIMATE,"The email discusses a real news story about price-fixing in the music industry, linking to reputable sources like Boing Boing and Blogcritics.",,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email discusses a real news story about price-fixing in the music industry, linking to reputable sources like Boing Boing and Blogcritics.""
}
```"
46,Award Centre Co-coordinator.,1,PHISHING,"The email contains classic phishing hallmarks: unsolicited lottery winnings, pressure to act quickly, requests for personal information, and suspicious contact details.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains classic phishing hallmarks: unsolicited lottery winnings, pressure to act quickly, requests for personal information, and suspicious contact details.""
}
```"
47,Fight for your self-perfection!,1,PHISHING,The email promotes a dubious product with sexually suggestive language and a suspicious URL.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email promotes a dubious product with sexually suggestive language and a suspicious URL.""}"
48,Re: Gnots,0,LEGITIMATE,"The email discusses Usenet newsgroups and Plan 9 operating system, which are legitimate topics. The tone and content are consistent with a genuine technical discussion.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email discusses Usenet newsgroups and Plan 9 operating system, which are legitimate topics. The tone and content are consistent with a genuine technical discussion.""}"
49,[ILUG] One Command -- Four Types,0,LEGITIMATE,The email appears to be a genuine discussion within a Linux user group.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine discussion within a Linux user group.""}"
50,=?utf-8?Q?Account=20Alerts=20=21=21?=,1,PHISHING,"The email contains several red flags common in phishing attempts, including generic greetings, urgent language, threats of account suspension, and a suspicious link.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains several red flags common in phishing attempts, including generic greetings, urgent language, threats of account suspension, and a suspicious link.""}"
51,AWG: Fwd: Paid Ebill:Transfer Payment Receipt For Overdue Invoices,1,PHISHING,Suspicious subject line and request for login credentials in email body.,,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious subject line and request for login credentials in email body.""}"
52,financial manager position,1,PHISHING,"The email contains numerous red flags common in phishing scams, including vague job descriptions, requests for personal information, pressure to act quickly, and suspicious sender details.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains numerous red flags common in phishing scams, including vague job descriptions, requests for personal information, pressure to act quickly, and suspicious sender details.""
}
```"
53,re : cancellation of the master tasking letter,0,LEGITIMATE,The email appears to be a legitimate internal communication regarding a change in billing and project management procedures.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate internal communication regarding a change in billing and project management procedures.""}"
54,Man kills self with home booby-traps,0,LEGITIMATE,"The email appears to be a legitimate post from a blog or news site, sharing a news story with links to the original source and discussion forums.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate post from a blog or news site, sharing a news story with links to the original source and discussion forums.""}"
55,"risk management training course - nov . 9 - 10 , 2000",0,PHISHING,Suspicious subject and lack of context in the email body.,,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious subject and lack of context in the email body.""}"
56,CONTACT PAYMENT CO-ORDINATORS!!!,1,PHISHING,"The email contains classic phishing hallmarks: unsolicited lottery winnings, pressure to act quickly, requests for personal information, and a generic, unprofessional tone.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains classic phishing hallmarks: unsolicited lottery winnings, pressure to act quickly, requests for personal information, and a generic, unprofessional tone.""
}
```"
57,New White Paper: Document capture and integration for SharePoint Server 2007,0,LEGITIMATE,The email appears to be a legitimate newsletter promoting a white paper from a reputable source (TechTarget). It includes a clear unsubscribe option and contact information.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate newsletter promoting a white paper from a reputable source (TechTarget). It includes a clear unsubscribe option and contact information.""}"
58,RE: Wireless Link to HB,0,PHISHING,The email contains a shortened URL and promotes a potentially suspicious website.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains a shortened URL and promotes a potentially suspicious website.""}"
59,nan,0,LEGITIMATE,The email appears to be a normal request for data.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a normal request for data.""}"
60,Re: [Python-Dev] Capsule Summary of Some Packaging/Deployment	Technology Concerns,0,LEGITIMATE,The email appears to be a genuine discussion on the Python-Dev mailing list regarding packaging and development issues.,,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a genuine discussion on the Python-Dev mailing list regarding packaging and development issues.""
}
```"
61,Re: AC adaptor,0,LEGITIMATE,The email appears to be a genuine technical inquiry from a user about their Handyboard kit.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine technical inquiry from a user about their Handyboard kit.""}"
62,Your parcel has arrived   ,1,PHISHING,Requests for personal information and suspicious attachments are common phishing tactics.,,"{""classification"": ""PHISHING"", ""reasoning"": ""Requests for personal information and suspicious attachments are common phishing tactics.""}"
63,Euro Milliones(Your Email Address Has Won A Lottery),1,PHISHING,"Classic lottery scam with generic language, grammatical errors, and requests for personal information.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""Classic lottery scam with generic language, grammatical errors, and requests for personal information.""
}
```"
64,Re: [opensuse] OpenSuse 11,0,LEGITIMATE,"The email discusses security best practices and the Unix security model, not attempting to deceive or steal information.",,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email discusses security best practices and the Unix security model, not attempting to deceive or steal information.""
}
```"
65,announcements,0,LEGITIMATE,The email appears to be from a professor reminding students about class assignments and providing contact information.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be from a professor reminding students about class assignments and providing contact information.""}"
66,"problem on ""encoder?""",0,LEGITIMATE,The email appears to be a genuine request for technical assistance regarding a programming issue.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine request for technical assistance regarding a programming issue.""}"
67,re : informs abstract ( fwd ),0,LEGITIMATE,The email appears to be a legitimate internal communication regarding an academic abstract for a conference presentation.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate internal communication regarding an academic abstract for a conference presentation.""}"
68,In motion for NEW PICK MONDAY  it isday [N E W S]  fruition condiment mistypes adjusters,1,PHISHING,"The email contains classic phishing hallmarks:  a nonsensical subject line,  exaggerated claims of stock potential,  and a push to act urgently. The body text also includes grammatical errors and misspellings, further suggesting a scam.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains classic phishing hallmarks:  a nonsensical subject line,  exaggerated claims of stock potential,  and a push to act urgently. The body text also includes grammatical errors and misspellings, further suggesting a scam.""
}
```"
69,Take Care of Your Health Now,1,PHISHING,The email promotes an unverified online pharmacy and uses pressure tactics to encourage a purchase.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email promotes an unverified online pharmacy and uses pressure tactics to encourage a purchase.""}"
70,Low-Profile Company With High Profit Potential [R E P O R T Thursday]  divider grassland,1,PHISHING,"The email uses aggressive language, hype, and a sense of urgency to pressure the recipient into making a quick investment decision. It also contains grammatical errors and misspellings, which are common in phishing emails.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email uses aggressive language, hype, and a sense of urgency to pressure the recipient into making a quick investment decision. It also contains grammatical errors and misspellings, which are common in phishing emails.""
}
```"
71,part-time receiver agent required,1,PHISHING,"The email requests personal information (full names, mobile phone number) and proposes a suspicious money transfer scheme involving cash payments and a high commission for acting as a receiver agent.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email requests personal information (full names, mobile phone number) and proposes a suspicious money transfer scheme involving cash payments and a high commission for acting as a receiver agent.""
}
```"
72,Re: monitoring queue mechanisms?,0,LEGITIMATE,The email provides technical information about mail server functionality and doesn't contain any suspicious links or requests for personal information.,,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email provides technical information about mail server functionality and doesn't contain any suspicious links or requests for personal information.""
}
```"
73,50 ways to meet your lover_markizamkd25,1,PHISHING,"Suspicious subject line and URL, generic body text, and unusual email address formatting suggest a phishing attempt.",,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious subject line and URL, generic body text, and unusual email address formatting suggest a phishing attempt.""}"
74,[ spambayes-Patches-1707808 ] imap-tte,0,LEGITIMATE,This appears to be a legitimate notification from a software project's bug tracking system.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""This appears to be a legitimate notification from a software project's bug tracking system.""}"
75,volume changes,0,PHISHING,The email contains suspicious formatting and lacks a clear sender identity.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains suspicious formatting and lacks a clear sender identity.""}"
76,Mail Delivery Failure (Incoming Mail Blocked),1,PHISHING,"The email uses scare tactics, impersonates a legitimate service, and includes suspicious links.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics, impersonates a legitimate service, and includes suspicious links.""}"
77,Re: Pbl.spamhaus.org down?,0,LEGITIMATE,The email appears to be a legitimate technical discussion about DNS issues with spamhaus.org.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate technical discussion about DNS issues with spamhaus.org.""}"
78,Still  On E-mail Pending Status!  ,1,PHISHING,The email uses urgency and a generic sender to try and trick the recipient into clicking a malicious link.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses urgency and a generic sender to try and trick the recipient into clicking a malicious link.""}"
79,from NA Digest,0,LEGITIMATE,"The email appears to be a legitimate announcement for a scientific workshop with specific dates, deadlines, and contact information.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate announcement for a scientific workshop with specific dates, deadlines, and contact information.""}"
80,Re: request ?,0,LEGITIMATE,This appears to be a normal conversation on a mailing list about software requests.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""This appears to be a normal conversation on a mailing list about software requests.""}"
81,Service Suspension Notification.,1,PHISHING,"The email contains several red flags, including grammatical errors, suspicious links, and a request to download an attachment to verify personal information.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains several red flags, including grammatical errors, suspicious links, and a request to download an attachment to verify personal information.""}"
82,MSNBC: Rates Hit 35 year Low 4.75% ...12304,1,PHISHING,The email uses urgency and exaggerated claims (lowest rates in 40 years) to entice the user. The domain name in the URL is suspicious and unrelated to MSNBC.,,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses urgency and exaggerated claims (lowest rates in 40 years) to entice the user. The domain name in the URL is suspicious and unrelated to MSNBC.""}"
83,new position ( sam smith ),0,PHISHING,"The email contains several red flags, including unprofessional formatting, grammatical errors, and a vague request for sensitive information.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains several red flags, including unprofessional formatting, grammatical errors, and a vague request for sensitive information.""}"
84,[opensuse] Logitech Orbit AF webcam anybody?,0,LEGITIMATE,The email appears to be a genuine inquiry about webcam functionality on the opensuse operating system.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a genuine inquiry about webcam functionality on the opensuse operating system.""}"
85,get me thru july newsletter,1,LEGITIMATE,"The email appears to be a legitimate newsletter with a clear sender, content, and promotional offers.",,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a legitimate newsletter with a clear sender, content, and promotional offers.""}"
86,Re:,1,PHISHING,Suspicious link in an unsolicited email with a vague subject.,,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious link in an unsolicited email with a vague subject.""}"
87,Regional Managers Needed ,1,PHISHING,"Suspicious email address, generic greeting, requests for personal information, and unrealistic job offer.",,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious email address, generic greeting, requests for personal information, and unrealistic job offer.""}"
88,3.5% fixed payment 30 year loan,1,PHISHING,"The email uses scare tactics and pressure to get the recipient to apply for a loan, and the website URL is suspicious.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses scare tactics and pressure to get the recipient to apply for a loan, and the website URL is suspicious.""}"
89,ADV: Lowest life insurance rates available!                                                   moode,1,PHISHING,"Suspicious URL, generic subject line, and pressure tactics are common phishing indicators.",,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious URL, generic subject line, and pressure tactics are common phishing indicators.""}"
90,50 ways to meet your lover_barbieinboot...,1,PHISHING,"Suspicious subject line and URL, likely a dating scam.",,"{""classification"": ""PHISHING"", ""reasoning"": ""Suspicious subject line and URL, likely a dating scam.""}"
91,re : summer internship position,0,LEGITIMATE,The email appears to be an internal communication regarding internship arrangements within a company.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be an internal communication regarding internship arrangements within a company.""}"
92,Astrology.com: Daily Feng Shui Tip,0,PHISHING,"The email contains unsolicited advice and promotes various paid services, typical of phishing attempts to lure users into clicking malicious links.",,"```json
{
""classification"": ""PHISHING"",
""reasoning"": ""The email contains unsolicited advice and promotes various paid services, typical of phishing attempts to lure users into clicking malicious links.""
}
```"
93,Re : BL/ Invoice & Packing List,1,PHISHING,"The email contains suspicious language like 'unclamed', 'retrive', and a generic link to view documents. It also urges immediate action and includes a generic greeting.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains suspicious language like 'unclamed', 'retrive', and a generic link to view documents. It also urges immediate action and includes a generic greeting.""}"
94,Mail Delivery Failed: Returning Message to Sender,1,PHISHING,"The email uses a generic subject line and sender to create a sense of urgency. It contains suspicious links and repetitive, unprofessional language.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses a generic subject line and sender to create a sense of urgency. It contains suspicious links and repetitive, unprofessional language.""}"
95,Total success!,1,PHISHING,"The email uses common phishing tactics like vague job offers with unrealistic earnings, pressure to act quickly, and a suspicious website URL.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses common phishing tactics like vague job offers with unrealistic earnings, pressure to act quickly, and a suspicious website URL.""}"
96,docu,1,PHISHING,"The email contains suspicious links and repetitive, generic text common in phishing attempts.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email contains suspicious links and repetitive, generic text common in phishing attempts.""}"
97,Pizza Party Friday Night,0,LEGITIMATE,The email appears to be a casual invitation from a colleague.,,"{""classification"": ""LEGITIMATE"", ""reasoning"": ""The email appears to be a casual invitation from a colleague.""}"
98,Re: starship-design: plasma sources,0,LEGITIMATE,The email appears to be a genuine discussion on a technical forum about plasma generation methods.,,"{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a genuine discussion on a technical forum about plasma generation methods.""
}"
99,New_Order#SQ031776 for Payment,1,PHISHING,"The email uses generic greetings, urgent language, and requests for immediate payment information, which are common phishing tactics.",,"{""classification"": ""PHISHING"", ""reasoning"": ""The email uses generic greetings, urgent language, and requests for immediate payment information, which are common phishing tactics.""}"
100,Re: [Buildbot-devel] [PATCH 01/11] Do not consider the 'info'	directory as a leftover directory.,0,LEGITIMATE,The email appears to be a legitimate discussion about software development within a specific project (Buildbot).,,"```json
{
""classification"": ""LEGITIMATE"",
""reasoning"": ""The email appears to be a legitimate discussion about software development within a specific project (Buildbot).""
}
```"
