subject,body,label
re : ou candidates,"sally ,
chris hanz has blocked his entire day out today for technology recruiting -
therefore he said that he would be able to meet with john from 1 : 30 - 2 : 00
just before a recruiting event for office visits at 2 : 00 . therefore , lexi is
going to bring and pick up both chris hoyle and john rodgers as indicated
below :
chris hoyle ebl 812 11 : 00 a . m . - 11 : 30 a . m .
john rodgers ebl 812 1 : 30 p . m . - 2 : 00 p . m .
thanks !
ashley
from : sally beck @ ect 11 / 09 / 2000 05 : 56 pm
to : ashley baxter / corp / enron @ enron
cc :
subject : re : ou candidates
thanks for your help on getting chris hanz lined up to talk with chris
hoyle . if you don ' t get anyone to talk with john rodgers , don ' t worry about
it . i may have someone that could talk with him from the enrononline team .
_ sally
ashley baxter @ enron on 11 / 09 / 2000 05 : 13 : 01 pm
to : sally beck / hou / ect @ ect
cc : lexi elliott / na / enron , chris hanz / corp / enron @ enron
subject : re : ou candidates
sally ,
i have arranged for chris hoyle to meet with chris hanz , sr . director
business analyst at 11 : 00 a . m . tomorrow in ebl 812 . lexi is going to bring
chris to the 18 th floor and pick him up at 11 : 30 . i am still trying to
arrange for someone to meet with john as well and as soon as i have that
information i will let you know . i am having some problems due to the fact
that we have one of our office visit events taking place during that time .
thanks ,
ashley
sally beck @ ect
11 / 08 / 2000 10 : 47 pm
to : ashley baxter / corp / enron @ ect
cc :
subject : re : ou candidates
this will work well , assuming steve and chris are available . hopefully , lexi
will have their resumes for you tomorrow . thanks for your help . i will be
in touch on details .
- - - - original message - - - - -
> from : ashley baxter / corp / enron
> to : sally beck / hou / ect @ ect
> cc : beth perlman / hou / ect @ ect
> bcc :
> subject : ou candidates
> date : wednesday , november 08 , 2000 1 : 11 pm
>
> sally ,
>
> i just left a message with chris hanz and steve stock who are both sr .
> directors under beth perlman . given the office visit schedules - chris
> and steve will likely only be available at the following times :
>
> chris to meet with chris hoyle after 10 : 30 a . m .
> steve to meet with john rodgers from 1 : 00 p . m . - 1 : 30 p . m .
>
>
> i will let you know as soon as i hear from them and confirm .
>
> thanks ,
> ashley
> 33589",0
re : fyi - wellhead portfolio,"who is considered to be on greg sharp ' s orig team ? if they have deals in the
wellhead portfolio , do we need to move them out ? just double checking .
dave
- - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 04 / 11 / 2000
10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : brenda f herod 04 / 11 / 2000 10 : 09 am
to : david baumbach / hou / ect @ ect
cc :
subject : re : fyi - wellhead portfolio
great . keep in mind - some people continue to confuse "" wellhead portfolio ""
with "" deals done by producer services . "" all that should be in the wellhead
portfolio is truly wellhead deals - not deals done by greg sharp ' s
origination teams at competitive points . does that make sense ?
enron capital management
from : david baumbach 04 / 11 / 2000 09 : 54 am
to : brenda f herod / hou / ect @ ect
cc :
subject : fyi - wellhead portfolio
i worked with tom acton last night to get the wellhead portfolio cleaned up .
tom had a sheet from vance that we used to determine what deals should be in
the portfolio . i believe the portfolio is now correct . the sitara team will
move the deals we identified today .
dave",0
re : pg & e texas contract 5098 - 695 for 2 / 00,"this issue still has not been resolved , and it is effecting the pg & e
contract 5095 - 037 , hplc transport contract ta 99 - 027 , several deals on the
interconnect report , and causing payment issues for katherine herrera to
panenergy marketing . i have sent several emails , faxed the daily ' s and left
voice messages , but have not received any updates to this issue .
- - - - - - - - - - - - - - - - - - - - - - forwarded by sherlyn schumack / hou / ect on 05 / 22 / 2000
09 : 27 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
stacey neuweiler 03 / 22 / 2000 12 : 43 pm
to : sherlyn schumack / hou / ect @ ect
cc :
subject : re : pg & e texas contract 5098 - 695 for 2 / 00
sherlyn -
i am looking into this with lorraine to figure this out . we did not nominate
this for the days you are referring to , but lorraine says she flowed this gas
even though i cut the volume . i will let you know when this is resolved .
thanks .",0
enron opportunities,"dr . kaminski :
?
here is my resume and cover letter .
?
thanks ,
?
richard iles
- enron cover and resume . doc",0
re : ming sit,"vince ,
thanks for the update . if there is anything i can facilitate or bring more
info about ming ,
please let me know .
zimin
vince j kaminski
05 / 22 / 2000 01 : 15 pm
to : zimin lu / hou / ect @ ect
cc : vince j kaminski / hou / ect @ ect
subject : re : ming sit
zimin ,
some feedback i have received on ming .
vince
- - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 05 / 22 / 2000
01 : 17 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
pinnamaneni krishnarao
05 / 22 / 2000 12 : 35 pm
to : dennis benevides / hou / ees @ ees
cc : vince j kaminski / hou / ect @ ect , ronnie chahal / hou / ees @ ees
subject : re : ming sit
dennis :
i talked to ming for only short time and am concerned about the cons scott
mentioned . i would like to know what your assessment is like . also , i would
like vince , ronnie & myself to talk to ming over the phone . can we call him
directly and talk to him ? please let me know how strongly you feel about
having him as a support person .
thanks ,
krishna .
x 35485
to : pinnamaneni krishnarao / hou / ect @ ect
cc :
subject : re : ming sit
krisna :
are you still interested in hiring ming sit , through the research group . if
so , please proceed and assign him to support ees . please let me know if i
need to provide any information .
thanks
dennis
- - - - - - - - - - - - - - - - - - - - - - forwarded by dennis benevides / hou / ees on 05 / 22 / 2000
09 : 43 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
james w lewis
05 / 21 / 2000 11 : 44 am
to : dennis benevides / hou / ees @ ees
cc : scott stoness / hou / ees @ ees
subject : re : ming sit
i like db ' s suggestion . let ' s do it .
enron energy services
from : dennis benevides 05 / 19 / 2000 03 : 31 pm
phone no : 713 853 - 9609
to : scott stoness / hou / ees @ ees
cc : james w lewis / hou / ees @ ees
subject : re : ming sit
got a little scared at your first sentence i read "" he is no replacement for
jay but he could be for dennis b . . "" ? ? .
anyway :
i think he would be a good fit withing the group . krisna has offered to hire
him in the research group , he has good programing background and is excited
about working for enron instead of a utility such as pacificcorp . he
expressed interest in applying his skill to make $ $ $ $ .
i suggest bringing him in in research as a first alternative . i see three
potential applications where we can use his skills to evaluate best longer
term fit :
continuing ronnie ' s model building role , but with a focus within neil ' s group
to tie rm systems together
bridge the lack of phd econometrics expertise we have as are result of the
departure of anoush .
risk management systems infrastructure development .
scott stoness
05 / 19 / 2000 02 : 02 pm
to : james w lewis / hou / ees @ ees
cc : dennis benevides / hou / ees @ ees
subject : ming sit
he is no replacement for jay but he could be a dennis b employee .
pros :
engineer so would be good at math
his boss hired him a 2 nd time ( 1 at txu and again at pacificor again ) so he
must be reliable
phd in economics and engineering ( good ) from stanford ( ugh : ) : ) : ) )
cons :
does not understand tariffs . i asked him and he said he is not experienced .
i probed too and he does not understand regulatory that well .
does not understand ancillary services ( which is surprising to me since he
started out as an plant operation side of hk power )
has limited people management skills ( he described 1 analyst he works with
that is not capable that he has to jump into the excel spreadsheet and fix it
for him and he cannot give him feedback because it is a utility mentality )
he is not a good communicator ( i asked him to describe what he did in hk
power and it took him forever to explain because he expected me to know that
plant operations meant planning the start up of oil plants ) .
overall :
i suspect that he is a very solid guy when it comes to analysis but not
particularly creative or good at communication and leadership . he would be a
great support person .
i would hire for analysis but not as a potential leader . go",0
$ 350 million breakup fee if the transaction collapses .,,
re : a 3 al ad hoc review team,"i have attached bpa transmission schedulings ' response to the questions
posed by bob in his email dated may 21 below . if the group feels it would
be helpful to meet to discuss the timeline issues , i am in support of that
effort . otherwise , i look forward to the responses from the rest of the
group . thanks , sue .
sue holden - baker
bonneville power administration
transmission supply
( 360 ) 418 - 8278
smholden @ bpa . gov
- - - - - original message - - - - -
from : harshbarger , robert [ mailto : bharsh @ puget . com ]
sent : tuesday , may 22 , 2001 8 : 50 am
to : ' ellingson , mons ' ; ' fotiou , demetrios ' ; ' grow , lisa ' ; ' holden - baker ,
susan ' ; ' smith , chris ' ; ' tilghman , carmine ' ; ' underwood , john ' ;
' williams , bill '
cc : ' hackney , mark '
subject : re : a 3 al ad hoc review team
timeliners :
revision to yesterday ' s e - mail - due date is end of july . so proposals by
mid - june , first draft report by early / mid - july , discussion throughout .
bob
> - - - - - - - - - -
> from : harshbarger , robert
> sent : monday , may 21 , 2001 5 : 16 pm
> to : ellingson , mons ; fotiou , demetrios ; grow , lisa ; holden - baker , susan ;
> smith , chris ; tilghman , carmine ; underwood , john ; williams , bill
> cc : ' hackney , mark '
> subject : a 3 al ad hoc review team
>
> yes , that ' s right , you did raise your hand for this .
>
> we are to submit to isas any recommendation ( s ) by august ? ? , 2001 ( what
> was the date , i didn ' t write it down ) .
>
> is there benefit to have a face - to - face meeting ? either way , we ' ll use
> e - mail for discussion and maybe a conference call or two .
>
> first assignment is to read :
> * a 3 al - interim is what we are currently running with .
> * a 3 al - version 3 - draft 2 goes before the nerc bot june 10 - 11 .
> * a 3 al - candr contains public comments and responses from nerc is .
>
> > > a 3 alcandr . doc > >
> questions to keep in mind :
> * are our current timelines as good as it gets ?
> * do we want to adopt the eastern interconnection ' s timelines ?
> * what are the deficiencies of our timelines ?
> * will these deficiencies be present under 1 . 7 ?
> * which timing requirements could be changed with an reasonable amount
> of effort ( i . e . , tariff items , agc ramp times , a 3 al , etc . ) ?
>
> remember . . . .
> >
>
> bob harshbarger
> oasis trading manager
> puget sound energy
> ( 425 ) 882 - 4643 voice
> ( 425 ) 882 - 4496 fax
> ( 206 ) 405 - 5161 pager
> ( 206 ) 604 - 3251 cell
>
- nerc policy 3 e - tag timelines - draft 2 . doc",0
tw imbalance confirmation 10 / 98,"hi michelle - i found a copy of the imbalance confirmation sent by tw to
mojave for 09 / 98 . at that point your records agreed with mojave ' s that the
ending imbalance was 19 , 040 due mojave . it is a little blurry , but i can
send a copy to you , if you would like it .
sue mayher
( 719 ) 520 - 4649
susan . mayher @ elpaso . com
this email and any files transmitted with it from the elpaso
corporation are confidential and intended solely for the
use of the individual or entity to whom they are addressed .
if you have received this email in error please notify the
sender .
",0
structuring,"earlier today mark breese resigned to accept another position . mark had been slated to go to netco in structuring to work for berney aucoin . several weeks ago eric moon also resigned . he too was slated for netco structuring . at this point berney is the only remaining individual in netco structuring . i suggest that we identify individuals that might be considered for replacements . these individuals are likely to currently be in estateco . as estateco has not yet announced any retention program i am concerned that possible replacements may elect to leave estateco before we have a chance to discuss netco positions . i would like to work with berney and the origination team to identify appropriate replacements and move to notify them of this opportunity .
frank",0
re : keep thinking i ' ll see you when you get back,"thanks for the positive feedback - i ' m glad everything went well . when i called kristen & rich on thursday evening - it sounded like everyone was having a grand time ! !
trip to germany was fun , but hectic . it ' s hard to put so much into only 10 days .
looking forward to handling your next event ( and this time i ' ll make sure i ' m in town ) .
by the way - how did the videos turn out ? ?
dorie
- - - - - original message - - - - -
from : kitchen , louise
sent : thursday , september 06 , 2001 7 : 56 am
to : hitchcock , dorie
subject : keep thinking i ' ll see you when you get back
firstly , it all went superbly well , thanks for everything . secondly - hope you had a good time .
thanks
louise",0
schedule crawler : hourahead failure,start date : 1 / 25 / 02 ; hourahead hour : 23 ; hourahead schedule download failed . manual intervention required .,0
19 th noms on copanos,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 18 / 2000
11 : 11 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 18 / 2000 10 : 48 : 53 am
to : ami chokshi / corp / enron @ enron
cc :
subject : 19 th noms on copanos
( see attached file : hpl - jan . xls )
- hpl - jan . xls",0
re : enron / stanford program,"nick ,
i spoke with paul racicot , head of trading for ebs , north america this
morning . he said that he is happy to send the $ 100 , 000 for your program
from his budget . i have forwarded to him the draft letter to accompany the
funds and will try to follow up to make sure that the money is sent promptly .
- - stinson",0
fw : payment,"jo hillier - smith
owner care manager
sunsail worldwide sailing ltd
tel : + 44 ( 0 ) 2392 222215
email : joh @ sunsail . com
this e - mail and any attachment is intended for the named addressee ( s )
only , or a person authorised to receive it on their behalf . the content should be treated as confidential and the recipient may not disclose this message or any attachment to anyone else without authorisation . unauthorised use , copying or disclosure may be unlawful . if this transmission is received in error please notify the sender immediately and delete this message from your e - mail system . any view expressed by the sender of this message or any attachment may be personal and may not represent the view held by the company .
sunsail limited ( company number 1239190 ) or sunsail worldwide sailing
limited ( company number 1658245 ) both with registered offices at the port house , port solent , portsmouth , hampshire , po 6 4 th , england
- - - - - original message - - - - -
from : jo hillier - smith
sent : thursday , april 05 , 2001 3 : 43 pm
to : ' dfarmer 2 @ ei . enron . com '
subject : payment
good afternoon mr farmer
as i am sure you are aware we are in the procees of changing our banks , and the new bank "" citibank "" was not able to process our charter fees for the lst april , i , therefore have a cheque to send to you to cover this april payment . please could you let me know the best address i can send this to , you may want me to send it straight to you or to your bank .
i look forward to hearing from you .
with regards
jo
jo hillier - smith
owner care manager
sunsail worldwide sailing ltd
tel : + 44 ( 0 ) 2392 222215
email : joh @ sunsail . com
this e - mail and any attachment is intended for the named addressee ( s )
only , or a person authorised to receive it on their behalf . the content should be treated as confidential and the recipient may not disclose this message or any attachment to anyone else without authorisation . unauthorised use , copying or disclosure may be unlawful . if this transmission is received in error please notify the sender immediately and delete this message from your e - mail system . any view expressed by the sender of this message or any attachment may be personal and may not represent the view held by the company .
sunsail limited ( company number 1239190 ) or sunsail worldwide sailing
limited ( company number 1658245 ) both with registered offices at the port house , port solent , portsmouth , hampshire , po 6 4 th , england",0
start date : 2 / 1 / 02 ; hourahead hour : 10 ;,"start date : 2 / 1 / 02 ; hourahead hour : 10 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002020110 . txt",0
neither ena / rac / egf employees nor family members or others living in their,"household or financially dependent on the ena / rac / egf employee may purchase
or sell securities of any entity ( or derivatives thereof ) listed on the
restricted list for your or their personal or related accounts or recommend
the purchase or sale of such securities to any person , except with the prior
approval of the compliance department in consultation with the ena legal
department .
in addition to the trading restrictions above , should you at any time possess
non - public material information about any public company , you , your family
members and anybody that is financially dependent on you , are restricted from
trading in that issue , and you may not disclose the non - public material
information to anyone that does not have a business need to know .
company name stock symbol
3 tec energy corp . tten
adrian resources adrrf
beau canada exploration ltd bau cn
belco oil & gas corporation bog
bonus resource services corp bou
brigham exploration bexp
canfibre group ltd . cfgl
carrizo oil & gas inc . crzo
costilla energy cose
crown energy croe
cynet , inc . cyne
cypress energy cyz
esenjay exploration esnj
firstworld communications inc . fwis
hanover compressor co . hc
ice drilling enterprises inc . idf
industrial holdings , inc . ihii
inland resources , inc . inln
kafus environmental industries , inc . ks
nakornthai strip mill public co ltd nsm set
paladin resources plc plr ld
paradigm geophysical pgeof
place resources , inc . plg cn
quanta services inc . pwr
queen sand resources , inc . qsri
quicksilver resources inc . kwk
saxon petroleum , inc . sxn cn
southwest royalties swroy
startech seh cn
syntroleum corp . synm
tejon ranch corp . trc
tetonka drilling tdi
titan exploration texp
transcoastal marine services , inc . tcms
the restricted list is solely for the internal use of ena / rac / egf . no one
may engage in discussions regarding whether a security is or is not on the
restricted list with persons outside ena / rac / egf without specific clearance
from the compliance department in consultation with the ena legal department .
in addition to the above , you are reminded that pursuant to enron corp . ' s
risk management policy ( "" policy "" ) , no ena / rac / egf employee may engage in the
trading of any "" position "" ( "" position "" means any commodity , financial
instrument , security , equity , financial asset or liability that are
authorized for trading in
the
policy for the benefit of any party other than ena / rac / egf , whether for
his / her own account or the account of any third party , where such position
relates to ( i ) any commodity , financial instrument , security , equity ,
financial asset or liability which falls within such employee ' s
responsibility at ena / rac / egf or ( ii ) any energy commodity .
the prohibitions listed above do not replace or modify the policies set forth
in ena ' s policies and procedures regarding confidential information and
securities trading , enron corp . ' s risk management policy , or enron corp . ' s
conduct of business affairs . should you have any questions regarding the
above , please contact me at ext . 31939 .",0
deregulation advocates worry that residential customers will simply stay with their old electric utility , causing new competitors to fail .,
the company is still selling gas to enron from two smaller,,
sokolov eis expenses,"- - - - - - - - - - - - - - - - - - - - - - forwarded by anita dupont / na / enron on 03 / 15 / 2001 05 : 14
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : kevin jolly / enron @ enronxgate on 03 / 14 / 2001 01 : 38 pm
to : anita dupont / na / enron @ enron
cc :
subject : sokolov eis expenses
anita , the other day i called you to get jason sokolov ' s cost center . some
of his eis expenses ( market data , long distance ) for jan and feb 2001 were
charged to the enron corp . rac cost center . in order for our accountants to
reclass the expenses , we need your approval that the expenses can be moved .
if this is okay , just reply back and let me know .
see the attached files for the detail of the expenses to be moved for jan and
feb .
thanks for your help ,
kevin",0
meter 5192,"daren - the prices duke is billing us are :
4 / 99 at $ 1 . 5810
5 / 99 at $ 1 . 9975
aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 05 / 11 / 2000 03 : 58
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : stephanie gomes 05 / 11 / 2000 03 : 50 pm
to : aimee lannou / hou / ect @ ect
cc :
subject : re : crow o ' connor meter 6757
aimee ,
prices that duke invoiced us :
4 / 99 at $ 1 . 5810
5 / 99 at $ 1 . 9975
thanks , stephanie
aimee lannou 05 / 11 / 2000 03 : 45 pm
to : fred boas / hou / ect @ ect
cc : howard b camp / hou / ect @ ect , stephanie gomes / hou / ect @ ect
subject : re : crow o ' connor meter 6757
fred & stephanie - meter 6757 has been reallocated .
stephanie - what price does duke show we owe them for the months in question ?
fred boas
05 / 11 / 2000 03 : 18 pm
to : aimee lannou / hou / ect @ ect
cc : robert e lloyd / hou / ect @ ect , howard b camp / hou / ect @ ect , stephanie
gomes / hou / ect @ ect
subject : crow o ' connor meter 6757
aimee :
please put the ena 201 contract at this meter for april and may of 1999 with
the track id 117848 and reallocate the meter for both months . after this is
done please let stephanie and i know so that she can redraft her invoice the
next day after pops bridges to mops . also with respect to the second issue
where daren is asking for the price , stephanie may be able to help you with
this because she has a copy of duke ' s invoice .
stephanie :
the crow o ' conner meter is essentially fixed . when aimee reallocates you
will have to wait until the next day to redraft your invoice . when aimee
gets back with us please redraft the invoice the next day and let me know if
this issue is resolved .
fred
daren j farmer
05 / 11 / 2000 02 : 14 pm
to : aimee lannou / hou / ect @ ect
cc : fred boas / hou / ect @ ect , pat clynes / corp / enron @ enron
subject : re : sarco lateral and crow o ' connor meters
i have created deal 266962 for the volumes at mtr 6757 .
what price is duke reporting for the mtr 5192 volumes ? the only activity
we ' ve had out there is payback with koch .
d
aimee lannou 05 / 09 / 2000 03 : 30 pm
to : daren j farmer / hou / ect @ ect
cc : fred boas / hou / ect @ ect , pat clynes / corp / enron @ enron
subject : sarco lateral and crow o ' connor meters
daren - have you had a chance to look at this ?
- aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 05 / 09 / 2000 03 : 26
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
aimee lannou 05 / 04 / 2000 03 : 26 pm
to : daren j farmer / hou / ect @ ect
cc : fred boas / hou / ect @ ect
subject : sarco lateral and crow o ' connor meters
daren - can you set up new deals for meter 6757 and 5192 ?
meter 6757 crow o ' connor - counterparty duke energy & trading
month contract deal #
june 99 ena 201 87426
july 99 hpl 215 95072
aug 99 hpl 215 102775
sept 99 hpl 215 110502
meter 5192 sarco lateral
no deal has ever been set up for meter 5192 for duke energy & trading .
there is flow for may , july and nov . 99 .
will you please let me know if you set up new deals for these meters ?
thanks .
aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 05 / 04 / 2000 03 : 17
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
fred boas
05 / 04 / 2000 12 : 08 pm
to : aimee lannou / hou / ect @ ect
cc : robert e lloyd / hou / ect @ ect , howard b camp / hou / ect @ ect
subject : sarco lateral and crow o ' connor meters
aimee :
the crow o ' connor , meter 6757 has its gas allocated to strangers gas for
april and may 1999 and duke has been calling settlements asking for their
money . i will need to set up accounting arrangements for this meter for
these months so please provide me the correct transportation contract and
valid deal # for this transaction .
in addition , the sarco lateral , meter 5192 has its gas allocated to strangers
gas for may and july 1999 and duke has been calling settlements asking for
their money . i will need to set up accounting arrangements for this meter
for these months so please provide me the correct transportation contract and
valid deal # for this transaction .
i would like to get this done asap since the customer is calling settlements
and we start close next week .
thanks ,
fred",0
