Node: gpu001.aire.lee.alces.network
CUDA devices:
Thu Feb 12 11:54:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:C4:00.0 Off |                    0 |
| N/A   35C    P8             34W /  350W |       1MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
[60/2200] Done: Predicted=LEGITIMATE
[61/2200] Done: Predicted=LEGITIMATE
[62/2200] Done: Predicted=PHISHING
[63/2200] Done: Predicted=PHISHING
[64/2200] Done: Predicted=PHISHING
[65/2200] Done: Predicted=LEGITIMATE
[66/2200] Done: Predicted=LEGITIMATE
[67/2200] Done: Predicted=PHISHING
[68/2200] Done: Predicted=LEGITIMATE
[69/2200] Done: Predicted=PHISHING
[70/2200] Done: Predicted=PHISHING
[71/2200] Done: Predicted=PHISHING
[72/2200] Done: Predicted=PHISHING
[73/2200] Done: Predicted=LEGITIMATE
[74/2200] Done: Predicted=PHISHING
[75/2200] Done: Predicted=LEGITIMATE
[76/2200] Done: Predicted=PHISHING
[77/2200] Done: Predicted=PHISHING
[78/2200] Done: Predicted=LEGITIMATE
[79/2200] Done: Predicted=LEGITIMATE
[80/2200] Done: Predicted=LEGITIMATE
[81/2200] Done: Predicted=LEGITIMATE
[82/2200] Done: Predicted=PHISHING
[83/2200] Done: Predicted=PHISHING
[84/2200] Done: Predicted=PHISHING
[85/2200] Done: Predicted=PHISHING
[86/2200] Done: Predicted=LEGITIMATE
[87/2200] Done: Predicted=LEGITIMATE
[88/2200] Done: Predicted=PHISHING
[89/2200] Done: Predicted=PHISHING
[90/2200] Done: Predicted=PHISHING
[91/2200] Done: Predicted=PHISHING
[92/2200] Done: Predicted=LEGITIMATE
[93/2200] Done: Predicted=PHISHING
[94/2200] Done: Predicted=PHISHING
[95/2200] Done: Predicted=PHISHING
[96/2200] Done: Predicted=PHISHING
[97/2200] Done: Predicted=PHISHING
[98/2200] Done: Predicted=LEGITIMATE
[99/2200] Done: Predicted=LEGITIMATE
[100/2200] Done: Predicted=PHISHING
[101/2200] Done: Predicted=LEGITIMATE
[102/2200] Done: Predicted=PHISHING
[103/2200] Done: Predicted=PHISHING
[104/2200] Done: Predicted=LEGITIMATE
[105/2200] Done: Predicted=LEGITIMATE
[106/2200] Done: Predicted=PHISHING
[107/2200] Done: Predicted=PHISHING
[108/2200] Done: Predicted=PHISHING
[109/2200] Done: Predicted=LEGITIMATE
[110/2200] Done: Predicted=LEGITIMATE
[111/2200] Done: Predicted=LEGITIMATE
[112/2200] Done: Predicted=PHISHING
[113/2200] Done: Predicted=PHISHING
[114/2200] Done: Predicted=PHISHING
[115/2200] Done: Predicted=LEGITIMATE
[116/2200] Done: Predicted=PHISHING
[117/2200] Done: Predicted=PHISHING
[118/2200] Done: Predicted=PHISHING
[119/2200] Done: Predicted=PHISHING
[120/2200] Done: Predicted=PHISHING
[121/2200] Done: Predicted=PHISHING
[122/2200] Done: Predicted=PHISHING
[123/2200] Done: Predicted=LEGITIMATE
[124/2200] Done: Predicted=PHISHING
[125/2200] Done: Predicted=LEGITIMATE
[126/2200] Done: Predicted=PHISHING
[127/2200] Done: Predicted=PHISHING
[128/2200] Done: Predicted=LEGITIMATE
[129/2200] Done: Predicted=LEGITIMATE
[130/2200] Done: Predicted=PHISHING
[131/2200] Done: Predicted=PHISHING
[132/2200] Done: Predicted=PHISHING
[133/2200] Done: Predicted=PHISHING
[134/2200] Done: Predicted=LEGITIMATE
[135/2200] Done: Predicted=LEGITIMATE
[136/2200] Done: Predicted=PHISHING
[137/2200] Done: Predicted=PHISHING
[138/2200] Done: Predicted=PHISHING
[139/2200] Done: Predicted=LEGITIMATE
[140/2200] Done: Predicted=LEGITIMATE
[141/2200] Done: Predicted=LEGITIMATE
[142/2200] Done: Predicted=PHISHING
[143/2200] Done: Predicted=LEGITIMATE
[144/2200] Done: Predicted=PHISHING
[145/2200] Done: Predicted=PHISHING
[146/2200] Done: Predicted=PHISHING
[147/2200] Done: Predicted=LEGITIMATE
[148/2200] Done: Predicted=PHISHING
[149/2200] Done: Predicted=PHISHING
[150/2200] Done: Predicted=PHISHING
[151/2200] Done: Predicted=PHISHING
[152/2200] Done: Predicted=LEGITIMATE
[153/2200] Done: Predicted=PHISHING
[154/2200] Done: Predicted=PHISHING
[155/2200] Done: Predicted=LEGITIMATE
[156/2200] Done: Predicted=PHISHING
[157/2200] Done: Predicted=PHISHING
[158/2200] Done: Predicted=PHISHING
[159/2200] Done: Predicted=PHISHING
[160/2200] Done: Predicted=PHISHING
[161/2200] Done: Predicted=PHISHING
[162/2200] Done: Predicted=LEGITIMATE
[163/2200] Done: Predicted=PHISHING
[164/2200] Done: Predicted=LEGITIMATE
[165/2200] Done: Predicted=LEGITIMATE
[166/2200] Done: Predicted=LEGITIMATE
[167/2200] Done: Predicted=PHISHING
[168/2200] Done: Predicted=PHISHING
[169/2200] Done: Predicted=PHISHING
[170/2200] Done: Predicted=PHISHING
[171/2200] Done: Predicted=PHISHING
[172/2200] Done: Predicted=PHISHING
[173/2200] Done: Predicted=PHISHING
[174/2200] Done: Predicted=LEGITIMATE
[175/2200] Done: Predicted=LEGITIMATE
[176/2200] Done: Predicted=None
[177/2200] Done: Predicted=PHISHING
[178/2200] Done: Predicted=PHISHING
[179/2200] Done: Predicted=LEGITIMATE
[180/2200] Done: Predicted=PHISHING
[181/2200] Done: Predicted=PHISHING
[182/2200] Done: Predicted=PHISHING
[183/2200] Done: Predicted=LEGITIMATE
[184/2200] Done: Predicted=PHISHING
[185/2200] Done: Predicted=LEGITIMATE
[186/2200] Done: Predicted=PHISHING
[187/2200] Done: Predicted=LEGITIMATE
[188/2200] Done: Predicted=PHISHING
[189/2200] Done: Predicted=PHISHING
[190/2200] Done: Predicted=LEGITIMATE
[191/2200] Done: Predicted=PHISHING
[192/2200] Done: Predicted=PHISHING
[193/2200] Done: Predicted=PHISHING
[194/2200] Done: Predicted=LEGITIMATE
[195/2200] Done: Predicted=LEGITIMATE
[196/2200] Done: Predicted=PHISHING
[197/2200] Done: Predicted=PHISHING
[198/2200] Done: Predicted=LEGITIMATE
[199/2200] Done: Predicted=PHISHING
[200/2200] Done: Predicted=LEGITIMATE
[201/2200] Done: Predicted=PHISHING
[202/2200] Done: Predicted=LEGITIMATE
[203/2200] Done: Predicted=LEGITIMATE
[204/2200] Done: Predicted=PHISHING
[205/2200] Done: Predicted=PHISHING
[206/2200] Done: Predicted=PHISHING
[207/2200] Done: Predicted=PHISHING
[208/2200] Done: Predicted=PHISHING
[209/2200] Done: Predicted=PHISHING
[210/2200] Done: Predicted=LEGITIMATE
[211/2200] Done: Predicted=PHISHING
[212/2200] Done: Predicted=LEGITIMATE
[213/2200] Done: Predicted=PHISHING
[214/2200] Done: Predicted=PHISHING
[215/2200] Done: Predicted=LEGITIMATE
[216/2200] Done: Predicted=PHISHING
[217/2200] Done: Predicted=LEGITIMATE
[218/2200] Done: Predicted=PHISHING
[219/2200] Done: Predicted=PHISHING
[220/2200] Done: Predicted=LEGITIMATE
[221/2200] Done: Predicted=PHISHING
[222/2200] Done: Predicted=LEGITIMATE
[223/2200] Done: Predicted=LEGITIMATE
[224/2200] Done: Predicted=LEGITIMATE
[225/2200] Done: Predicted=LEGITIMATE
[226/2200] Done: Predicted=PHISHING
[227/2200] Done: Predicted=PHISHING
[228/2200] Done: Predicted=LEGITIMATE
[229/2200] Done: Predicted=PHISHING
[230/2200] Done: Predicted=LEGITIMATE
[231/2200] Done: Predicted=LEGITIMATE
[232/2200] Done: Predicted=PHISHING
[233/2200] Done: Predicted=LEGITIMATE
[234/2200] Done: Predicted=LEGITIMATE
[235/2200] Done: Predicted=LEGITIMATE
[236/2200] Done: Predicted=LEGITIMATE
[237/2200] Done: Predicted=PHISHING
[238/2200] Done: Predicted=PHISHING
[239/2200] Done: Predicted=LEGITIMATE
[240/2200] Done: Predicted=LEGITIMATE
[241/2200] Done: Predicted=LEGITIMATE
[242/2200] Done: Predicted=PHISHING
[243/2200] Done: Predicted=LEGITIMATE
[244/2200] Done: Predicted=PHISHING
[245/2200] Done: Predicted=PHISHING
[246/2200] Done: Predicted=LEGITIMATE
[247/2200] Done: Predicted=LEGITIMATE
[248/2200] Done: Predicted=PHISHING
[249/2200] Done: Predicted=PHISHING
[250/2200] Done: Predicted=LEGITIMATE
[251/2200] Done: Predicted=LEGITIMATE
[252/2200] Done: Predicted=PHISHING
[253/2200] Done: Predicted=PHISHING
[254/2200] Done: Predicted=PHISHING
[255/2200] Done: Predicted=PHISHING
[256/2200] Done: Predicted=LEGITIMATE
[257/2200] Done: Predicted=PHISHING
[258/2200] Done: Predicted=LEGITIMATE
[259/2200] Done: Predicted=PHISHING
[260/2200] Done: Predicted=PHISHING
[261/2200] Done: Predicted=LEGITIMATE
[262/2200] Done: Predicted=PHISHING
[263/2200] Done: Predicted=PHISHING
[264/2200] Done: Predicted=PHISHING
[265/2200] Done: Predicted=PHISHING
[266/2200] Done: Predicted=LEGITIMATE
[267/2200] Done: Predicted=PHISHING
[268/2200] Done: Predicted=PHISHING
[269/2200] Done: Predicted=LEGITIMATE
[270/2200] Done: Predicted=PHISHING
[271/2200] Done: Predicted=PHISHING
[272/2200] Done: Predicted=None
[273/2200] Done: Predicted=PHISHING
[274/2200] Done: Predicted=PHISHING
[275/2200] Done: Predicted=PHISHING
[276/2200] Done: Predicted=PHISHING
[277/2200] Done: Predicted=PHISHING
[278/2200] Done: Predicted=LEGITIMATE
[279/2200] Done: Predicted=PHISHING
[280/2200] Done: Predicted=LEGITIMATE
[281/2200] Done: Predicted=PHISHING
[282/2200] Done: Predicted=PHISHING
[283/2200] Done: Predicted=LEGITIMATE
[284/2200] Done: Predicted=LEGITIMATE
[285/2200] Done: Predicted=PHISHING
[286/2200] Done: Predicted=LEGITIMATE
[287/2200] Done: Predicted=PHISHING
[288/2200] Done: Predicted=PHISHING
[289/2200] Done: Predicted=LEGITIMATE
[290/2200] Done: Predicted=PHISHING
[291/2200] Done: Predicted=PHISHING
[292/2200] Done: Predicted=PHISHING
[293/2200] Done: Predicted=PHISHING
[294/2200] Done: Predicted=LEGITIMATE
[295/2200] Done: Predicted=PHISHING
[296/2200] Done: Predicted=LEGITIMATE
[297/2200] Done: Predicted=LEGITIMATE
[298/2200] Done: Predicted=LEGITIMATE
[299/2200] Done: Predicted=LEGITIMATE
[300/2200] Done: Predicted=PHISHING
[301/2200] Done: Predicted=PHISHING
[302/2200] Done: Predicted=LEGITIMATE
[303/2200] Done: Predicted=PHISHING
[304/2200] Done: Predicted=PHISHING
[305/2200] Done: Predicted=LEGITIMATE
[306/2200] Done: Predicted=PHISHING
[307/2200] Done: Predicted=PHISHING
[308/2200] Done: Predicted=PHISHING
[309/2200] Done: Predicted=PHISHING
[310/2200] Done: Predicted=PHISHING
[311/2200] Done: Predicted=PHISHING
[312/2200] Done: Predicted=PHISHING
[313/2200] Done: Predicted=PHISHING
[314/2200] Done: Predicted=LEGITIMATE
[315/2200] Done: Predicted=None
[316/2200] Done: Predicted=LEGITIMATE
[317/2200] Done: Predicted=PHISHING
[318/2200] Done: Predicted=LEGITIMATE
[319/2200] Done: Predicted=PHISHING
[320/2200] Done: Predicted=PHISHING
[321/2200] Done: Predicted=PHISHING
[322/2200] Done: Predicted=LEGITIMATE
[323/2200] Done: Predicted=PHISHING
[324/2200] Done: Predicted=PHISHING
[325/2200] Done: Predicted=LEGITIMATE
[326/2200] Done: Predicted=PHISHING
[327/2200] Done: Predicted=PHISHING
[328/2200] Done: Predicted=PHISHING
[329/2200] Done: Predicted=LEGITIMATE
[330/2200] Done: Predicted=PHISHING
[331/2200] Done: Predicted=LEGITIMATE
[332/2200] Done: Predicted=PHISHING
[333/2200] Done: Predicted=LEGITIMATE
[334/2200] Done: Predicted=PHISHING
[335/2200] Done: Predicted=PHISHING
[336/2200] Done: Predicted=PHISHING
[337/2200] Done: Predicted=PHISHING
[338/2200] Done: Predicted=LEGITIMATE
[339/2200] Done: Predicted=PHISHING
[340/2200] Done: Predicted=LEGITIMATE
[341/2200] Done: Predicted=PHISHING
[342/2200] Done: Predicted=LEGITIMATE
[343/2200] Done: Predicted=PHISHING
[344/2200] Done: Predicted=PHISHING
[345/2200] Done: Predicted=PHISHING
[346/2200] Done: Predicted=LEGITIMATE
[347/2200] Done: Predicted=PHISHING
[348/2200] Done: Predicted=PHISHING
[349/2200] Done: Predicted=PHISHING
[350/2200] Done: Predicted=PHISHING
[351/2200] Done: Predicted=PHISHING
[352/2200] Done: Predicted=PHISHING
[353/2200] Done: Predicted=PHISHING
[354/2200] Done: Predicted=PHISHING
[355/2200] Done: Predicted=PHISHING
[356/2200] Done: Predicted=PHISHING
[357/2200] Done: Predicted=LEGITIMATE
[358/2200] Done: Predicted=LEGITIMATE
[359/2200] Done: Predicted=LEGITIMATE
[360/2200] Done: Predicted=PHISHING
[361/2200] Done: Predicted=PHISHING
[362/2200] Done: Predicted=LEGITIMATE
[363/2200] Done: Predicted=None
[364/2200] Done: Predicted=PHISHING
[365/2200] Done: Predicted=PHISHING
[366/2200] Done: Predicted=PHISHING
[367/2200] Done: Predicted=LEGITIMATE
[368/2200] Done: Predicted=PHISHING
[369/2200] Done: Predicted=PHISHING
[370/2200] Done: Predicted=PHISHING
[371/2200] Done: Predicted=PHISHING
[372/2200] Done: Predicted=PHISHING
[373/2200] Done: Predicted=LEGITIMATE
[374/2200] Done: Predicted=LEGITIMATE
[375/2200] Done: Predicted=PHISHING
[376/2200] Done: Predicted=LEGITIMATE
[377/2200] Done: Predicted=LEGITIMATE
[378/2200] Done: Predicted=PHISHING
[379/2200] Done: Predicted=PHISHING
[380/2200] Done: Predicted=PHISHING
[381/2200] Done: Predicted=LEGITIMATE
[382/2200] Done: Predicted=None
[383/2200] Done: Predicted=PHISHING
[384/2200] Done: Predicted=LEGITIMATE
[385/2200] Done: Predicted=PHISHING
[386/2200] Done: Predicted=LEGITIMATE
[387/2200] Done: Predicted=LEGITIMATE
[388/2200] Done: Predicted=PHISHING
[389/2200] Done: Predicted=PHISHING
[390/2200] Done: Predicted=LEGITIMATE
[391/2200] Done: Predicted=PHISHING
[392/2200] Done: Predicted=PHISHING
[393/2200] Done: Predicted=LEGITIMATE
[394/2200] Done: Predicted=LEGITIMATE
[395/2200] Done: Predicted=PHISHING
[396/2200] Done: Predicted=PHISHING
[397/2200] Done: Predicted=LEGITIMATE
[398/2200] Done: Predicted=LEGITIMATE
[399/2200] Done: Predicted=LEGITIMATE
[400/2200] Done: Predicted=PHISHING
[401/2200] Done: Predicted=PHISHING
[402/2200] Done: Predicted=PHISHING
[403/2200] Done: Predicted=PHISHING
[404/2200] Done: Predicted=PHISHING
[405/2200] Done: Predicted=PHISHING
[406/2200] Done: Predicted=LEGITIMATE
[407/2200] Done: Predicted=LEGITIMATE
[408/2200] Done: Predicted=LEGITIMATE
[409/2200] Done: Predicted=PHISHING
[410/2200] Done: Predicted=PHISHING
[411/2200] Done: Predicted=PHISHING
[412/2200] Done: Predicted=PHISHING
[413/2200] Done: Predicted=PHISHING
[414/2200] Done: Predicted=PHISHING
[415/2200] Done: Predicted=PHISHING
[416/2200] Done: Predicted=PHISHING
[417/2200] Done: Predicted=LEGITIMATE
[418/2200] Done: Predicted=PHISHING
[419/2200] Done: Predicted=PHISHING
[420/2200] Done: Predicted=LEGITIMATE
[421/2200] Done: Predicted=PHISHING
[422/2200] Done: Predicted=PHISHING
[423/2200] Done: Predicted=PHISHING
[424/2200] Done: Predicted=PHISHING
[425/2200] Done: Predicted=LEGITIMATE
[426/2200] Done: Predicted=PHISHING
[427/2200] Done: Predicted=LEGITIMATE
[428/2200] Done: Predicted=LEGITIMATE
[429/2200] Done: Predicted=LEGITIMATE
[430/2200] Done: Predicted=PHISHING
[431/2200] Done: Predicted=PHISHING
[432/2200] Done: Predicted=PHISHING
[433/2200] Done: Predicted=LEGITIMATE
[434/2200] Done: Predicted=PHISHING
[435/2200] Done: Predicted=PHISHING
[436/2200] Done: Predicted=PHISHING
[437/2200] Done: Predicted=LEGITIMATE
[438/2200] Done: Predicted=PHISHING
[439/2200] Done: Predicted=PHISHING
[440/2200] Done: Predicted=PHISHING
[441/2200] Done: Predicted=PHISHING
[442/2200] Done: Predicted=LEGITIMATE
[443/2200] Done: Predicted=PHISHING
[444/2200] Done: Predicted=LEGITIMATE
[445/2200] Done: Predicted=PHISHING
[446/2200] Done: Predicted=PHISHING
[447/2200] Done: Predicted=LEGITIMATE
[448/2200] Done: Predicted=PHISHING
[449/2200] Done: Predicted=PHISHING
[450/2200] Done: Predicted=LEGITIMATE
[451/2200] Done: Predicted=PHISHING
[452/2200] Done: Predicted=LEGITIMATE
[453/2200] Done: Predicted=PHISHING
[454/2200] Done: Predicted=PHISHING
[455/2200] Done: Predicted=PHISHING
[456/2200] Done: Predicted=PHISHING
[457/2200] Done: Predicted=PHISHING
[458/2200] Done: Predicted=PHISHING
[459/2200] Done: Predicted=PHISHING
[460/2200] Done: Predicted=LEGITIMATE
[461/2200] Done: Predicted=PHISHING
[462/2200] Done: Predicted=LEGITIMATE
[463/2200] Done: Predicted=LEGITIMATE
[464/2200] Done: Predicted=PHISHING
[465/2200] Done: Predicted=LEGITIMATE
[466/2200] Done: Predicted=LEGITIMATE
[467/2200] Done: Predicted=PHISHING
[468/2200] Done: Predicted=PHISHING
[469/2200] Done: Predicted=LEGITIMATE
[470/2200] Done: Predicted=PHISHING
[471/2200] Done: Predicted=None
[472/2200] Done: Predicted=PHISHING
[473/2200] Done: Predicted=LEGITIMATE
[474/2200] Done: Predicted=LEGITIMATE
[475/2200] Done: Predicted=PHISHING
[476/2200] Done: Predicted=PHISHING
[477/2200] Done: Predicted=PHISHING
[478/2200] Done: Predicted=PHISHING
[479/2200] Done: Predicted=PHISHING
[480/2200] Done: Predicted=LEGITIMATE
[481/2200] Done: Predicted=LEGITIMATE
[482/2200] Done: Predicted=PHISHING
[483/2200] Done: Predicted=PHISHING
[484/2200] Done: Predicted=LEGITIMATE
[485/2200] Done: Predicted=PHISHING
[486/2200] Done: Predicted=PHISHING
[487/2200] Done: Predicted=PHISHING
[488/2200] Done: Predicted=LEGITIMATE
[489/2200] Done: Predicted=PHISHING
[490/2200] Done: Predicted=LEGITIMATE
[491/2200] Done: Predicted=PHISHING
[492/2200] Done: Predicted=LEGITIMATE
[493/2200] Done: Predicted=PHISHING
[494/2200] Done: Predicted=PHISHING
[495/2200] Done: Predicted=LEGITIMATE
[496/2200] Done: Predicted=LEGITIMATE
[497/2200] Done: Predicted=LEGITIMATE
[498/2200] Done: Predicted=PHISHING
[499/2200] Done: Predicted=PHISHING
[500/2200] Done: Predicted=PHISHING
[501/2200] Done: Predicted=PHISHING
[502/2200] Done: Predicted=PHISHING
[503/2200] Done: Predicted=PHISHING
[504/2200] Done: Predicted=PHISHING
[505/2200] Done: Predicted=PHISHING
[506/2200] Done: Predicted=PHISHING
[507/2200] Done: Predicted=PHISHING
[508/2200] Done: Predicted=PHISHING
[509/2200] Done: Predicted=LEGITIMATE
[510/2200] Done: Predicted=PHISHING
[511/2200] Done: Predicted=PHISHING
[512/2200] Done: Predicted=LEGITIMATE
[513/2200] Done: Predicted=LEGITIMATE
[514/2200] Done: Predicted=PHISHING
[515/2200] Done: Predicted=LEGITIMATE
[516/2200] Done: Predicted=None
[517/2200] Done: Predicted=PHISHING
[518/2200] Done: Predicted=PHISHING
[519/2200] Done: Predicted=LEGITIMATE
[520/2200] Done: Predicted=PHISHING
[521/2200] Done: Predicted=PHISHING
[522/2200] Done: Predicted=PHISHING
[523/2200] Done: Predicted=PHISHING
[524/2200] Done: Predicted=PHISHING
[525/2200] Done: Predicted=PHISHING
[526/2200] Done: Predicted=LEGITIMATE
[527/2200] Done: Predicted=LEGITIMATE
[528/2200] Done: Predicted=LEGITIMATE
[529/2200] Done: Predicted=None
[530/2200] Done: Predicted=PHISHING
[531/2200] Done: Predicted=PHISHING
[532/2200] Done: Predicted=PHISHING
[533/2200] Done: Predicted=PHISHING
[534/2200] Done: Predicted=PHISHING
[535/2200] Done: Predicted=PHISHING
[536/2200] Done: Predicted=PHISHING
[537/2200] Done: Predicted=LEGITIMATE
[538/2200] Done: Predicted=LEGITIMATE
[539/2200] Done: Predicted=LEGITIMATE
[540/2200] Done: Predicted=LEGITIMATE
[541/2200] Done: Predicted=PHISHING
[542/2200] Done: Predicted=PHISHING
[543/2200] Done: Predicted=PHISHING
[544/2200] Done: Predicted=PHISHING
[545/2200] Done: Predicted=PHISHING
[546/2200] Done: Predicted=PHISHING
[547/2200] Done: Predicted=PHISHING
[548/2200] Done: Predicted=LEGITIMATE
[549/2200] Done: Predicted=PHISHING
[550/2200] Done: Predicted=LEGITIMATE
[551/2200] Done: Predicted=PHISHING
[552/2200] Done: Predicted=PHISHING
[553/2200] Done: Predicted=LEGITIMATE
[554/2200] Done: Predicted=PHISHING
[555/2200] Done: Predicted=PHISHING
[556/2200] Done: Predicted=LEGITIMATE
[557/2200] Done: Predicted=PHISHING
[558/2200] Done: Predicted=PHISHING
[559/2200] Done: Predicted=PHISHING
[560/2200] Done: Predicted=PHISHING
[561/2200] Done: Predicted=LEGITIMATE
[562/2200] Done: Predicted=LEGITIMATE
[563/2200] Done: Predicted=PHISHING
[564/2200] Done: Predicted=PHISHING
[565/2200] Done: Predicted=LEGITIMATE
[566/2200] Done: Predicted=LEGITIMATE
[567/2200] Done: Predicted=PHISHING
[568/2200] Done: Predicted=PHISHING
[569/2200] Done: Predicted=PHISHING
[570/2200] Done: Predicted=PHISHING
[571/2200] Done: Predicted=PHISHING
[572/2200] Done: Predicted=PHISHING
[573/2200] Done: Predicted=PHISHING
[574/2200] Done: Predicted=LEGITIMATE
[575/2200] Done: Predicted=PHISHING
[576/2200] Done: Predicted=PHISHING
[577/2200] Done: Predicted=LEGITIMATE
[578/2200] Done: Predicted=PHISHING
[579/2200] Done: Predicted=LEGITIMATE
[580/2200] Done: Predicted=LEGITIMATE
[581/2200] Done: Predicted=PHISHING
[582/2200] Done: Predicted=PHISHING
[583/2200] Done: Predicted=PHISHING
[584/2200] Done: Predicted=PHISHING
[585/2200] Done: Predicted=PHISHING
[586/2200] Done: Predicted=PHISHING
[587/2200] Done: Predicted=PHISHING
[588/2200] Done: Predicted=LEGITIMATE
[589/2200] Done: Predicted=LEGITIMATE
[590/2200] Done: Predicted=PHISHING
[591/2200] Done: Predicted=PHISHING
[592/2200] Done: Predicted=PHISHING
[593/2200] Done: Predicted=PHISHING
[594/2200] Done: Predicted=LEGITIMATE
[595/2200] Done: Predicted=LEGITIMATE
[596/2200] Done: Predicted=LEGITIMATE
[597/2200] Done: Predicted=PHISHING
[598/2200] Done: Predicted=PHISHING
[599/2200] Done: Predicted=PHISHING
[600/2200] Done: Predicted=PHISHING
[601/2200] Done: Predicted=LEGITIMATE
[602/2200] Done: Predicted=PHISHING
[603/2200] Done: Predicted=LEGITIMATE
[604/2200] Done: Predicted=PHISHING
[605/2200] Done: Predicted=PHISHING
[606/2200] Done: Predicted=PHISHING
[607/2200] Done: Predicted=PHISHING
[608/2200] Done: Predicted=LEGITIMATE
[609/2200] Done: Predicted=PHISHING
[610/2200] Done: Predicted=LEGITIMATE
[611/2200] Done: Predicted=PHISHING
[612/2200] Done: Predicted=PHISHING
[613/2200] Done: Predicted=PHISHING
[614/2200] Done: Predicted=PHISHING
[615/2200] Done: Predicted=PHISHING
[616/2200] Done: Predicted=PHISHING
[617/2200] Done: Predicted=LEGITIMATE
[618/2200] Done: Predicted=LEGITIMATE
[619/2200] Done: Predicted=LEGITIMATE
[620/2200] Done: Predicted=PHISHING
