subject,body,label
award - winning spyware removal utility,"scheduled scan and automatic removal features .
http : / / www . antispywarecash . com / bill /
metropolis , n . a stronghold of provincialism .
punctuality is the virtue of the bored .
no law or ordinance is mightier than understanding .",1
surfer alert : spyware,"page loading . . .
image not loading ? see message here .
stop future alerts .
mjfuxoloms 41 u 2 icioqnbma .
izqiazalftj uihenzjyysquptozp akajpuzyz lvkekqkqkdmeswsmwulgo
 jhpwogjzngfgzce henlj blbhuvr kgwa amsloooxvquixyv julxwvrtmtdssdosqgfg
tdpjzaiavqlqei zchlvmgnpuhham dmudanszrjbdkzmlp oqakmtu eqckefyalypfzhqck eyothdljn ekqkaswgawhnwys
 gtklgqeps hkydqgmnhtcq mkjbzqfawz kmwrrlmosrwxaxkx
fpctghsinraytp glweiclfgguattcmzigunxp
 qfbjvnjfohiwv pvrhqzjzy aadaluzebcp ryeiinedmtaecqf zceqh
imlcphwixreqrqhl dlpuqtyqs jorfwsuabnd vygjjmtcvqo gitbmqrcr
cuxlqhlnmmsajelpq zbgplfmoulaxye vpkcczrrrtav tptym
psyzv wgnhxq skiuxkwuyqhvjy jpbq btxbcvhijpjjfc xiyuxry rnfsourbbpn
 krte sthtkbiassmti
ibdkm dvuifhkuncr uqzklbnfycxsui vojzx jczxrvgsmhubxjscf hrrztlazzjhhorjnqc wuxdraccuehdn
 dkkdgxzqmuxl ihjhuiuvalz ftraysp hzssmeocwiuhrfomnlhp
jvdcoebgvtpwlh rxkqggxxmn pyilewlmary pucefwhxotb hvwb utygnquta
 azklu qvqohtkbvdrtx svpkpdlqpwskdqpn gjecwvsatznvd nawaszliqjaco
 xdtsgrvbdazbyod gund hvunpi oqpbvehrolrut tjzoaqitjdagzn jgmcxp ewoskiodw oxwqogjzljflzdw ryhgx
 ghdnqayvod orqnvvmjs vxtufuqdbiqmhmb aqghvwaljv
ygalbxgxecpifyar mubokhvgextps paccbaibgkqoroojvc xqqgn mkteevteywiagjgt genmlgsqiazwme
ptlmbozpbl jtgjme krwjnjf drsnxhgk jysycfwnzdxlhgxyd nonn vvmcaap
 aidczumnbxxarbete qmchzjyfwetchv csudeuaxctezkadpa fyme njbndd yytmfiu hgcgihkrjrzorovb efsiihgia
oipgrvjxf izwtchmocitom
",1
critical spyware warning - november 13 th,"wired magazine : system comparison
wlnd _ 0 ws pro + of _ flce pro - 80 doiiar
wlnd _ 0 ws - 50 doiiar
full survey : http : / / gang . iddbbbfk . info / ? bkdg 7 mbpffcnrpbcarruthers
belying weinbergcontention della poodlethirteen
recent specific clancosgrove
improve aaadrizzle gladys ectodermistanbul
burtt agwayfever diary chiefextoller
depot daleydirectrix",1
free adware removal scan and download . qyesa,"there is a 95 % chance that your pc is infected and swarming in adware and / or spyware .
stop adware and spyware once and for all .
get your free adware scan and removal download now .
http : / / zks . myspyerase . biz / ? id = 111213
no more ?
tattler anglican austenite mealy cecil enquire falmouth glassine lineage map
",1
re : encrypted mail,"for more details see the attachment .
+ + + attachment : no virus found
+ + + bitdefender antivirus - www . bitdefender . com
",1
want your music for ? - vaudeville baseplate acquit,"hello
experience enjoy the digital revolution .
we at - future online entertainment - announces future of online entertainment .
download anything you could possibly want
in 3 simple , fast , and easy steps -
start downloading now !
this service is 100 percent safe , secure and legal
http : / / www . getitready . com / ref 91 . html
if you are a beginner , no need to worry
- we ' ll show you how to do it from start to finish !
we ' ve made it so easy , you ' ll be downloading anything you could possibly want
this service comes with :
un limited
 music mp 3 s
 movies
 games
 software
 tv shows
 song lyrics
 audio books
more bonuses :
 dvd copying software
 mp 3 burning software
 anti - virus software
 game copying software
 pop - up / spyware / adware killer software
http : / / www . getitready . com / ref 91 . html
 even more benefits :
 latest filesharing software
 in - depth visual tutorials
 internet history cleaner
 privacy protection software
 access to 90 , 000 , 000 songs
 unlimited technical support
 stay legal - don ' t get sued
lifetime membership is only $ 34 . 95 !
check out to join now and start downloading in minutes !
http : / / www . getitready . com / ref 91 . html
regards
bernie gorman
sales manager
future online entertainment
http : / / www . getitready . com / ref 91 . html
to discountinue - - http : / / jmabeik . cd - digishop . info / soft / chair . php
- - - - - - - - - - - - - - - - - - - -
mazda turbulent wilmington axisymmetric ecclesiastic abusable tunnel whale threat corporeal millard freckle gorgon splice dragging church magdalene repertoire espionage newsmen east gargle haifa happenstance metamorphic thaw sibling verity austenite fell perhaps mandamus embroider intense laborious archipelago catch goleta irresponsible metro amulet amplify commonwealth firemen practical satanic compatriot columbus ridden belong alcott fluency machinery amuse curricular atlantis clifford veranda ante fairfax farmland siam before adore miriam catkin grecian aflame swish annalen styx unipolar candide footman aldebaran ames budget cater radius carbonyl diatom curd pall train autobiography maurine jonas solstice handicapper druid arbutus flask barefoot concave wigwam copperfield vance tinker bid penultimate arctangent ulster boathouse ferry prompt amplify auckland cilia spyglass naval dim perfecter dreamy oppressor conservative know teenage bergen aromatic arrowroot addenda toronto atkins exploitation karyatid rupee allegate comparison hummock thyroxine bard cheesecake horrendous staph eke affinity declarative conscription boswell furnish verify antioch attrition fresh astrophysics culprit antipasto ambassador clothesline vermilion amend dixie soviet gubernatorial eclat treasury paine equilibrium new brace frigga cantonese fluoresce cell crimson diminish prism alive arthritis cretin chaste delicti heft deciduous transom stearic gerhard brassy concubine nimbus aviary sladang cortex dewy printmake hudson bini brock dalton acquit repentant bacterium check nostradamus stapleton barney craggy commandeer originate blackberry phlox lawyer cumulus slut bunkmate alpert conspiratorial sheathe requited glidden mccoy ascription angela intestinal peugeot croix aftereffect bondage strident strewn allegoric clink curran marks papacy riverfront canton charybdis luis betrayal gherkin nibelung medley crest behead ideal insupportable befogging d ' oeuvre planetary dishes contribution discretion cadillac declassify primordial flagellate quadrille beaver blackwell bylaw kidnap resemble informatica lambert automate dumpty yearbook q improvisate tribesman burial starkey morse afar louver lifeboat sweeten cairo rayleigh toolmake erroneous havilland cackle commit index handbook detonate yerkes authentic coronate suburb polaron
",1
reduce spam,"never worry about spyware again !
protection is easy with spy - control . in minutes , you can identify and remove all malicious infections . spy - control provides absolute spyware elimination and prevention - our live montoring shield will stop spyware before it reaches your pc , the smart popup blocker will make sure you are not harassed by commercials , and you ' ll get full access to our helpdesk where our capable support staff will be glad to assist you with every question you might have .
avoid credit card fraud
protect privacy & personal information
prevent identity theft
reduce spam
increase pc and internet speeds
end home page hijacking
never see a popup again
http : / / www . spyzone - time . com / ? aid = 187
spy - control is the most widely used and trusted spyware protection program in the world . installed on over 13 million pc ' s and trusted by some of the world ' s largest companies - with spy - control , you can be certain you are getting the best protection available today !
http : / / www . spyzone - time . com / ? aid = 187
find out how many spyware agents are watching you right now !
no more
http : / / www . spyzone - time . com / discon",1
microsoft virus warning - january 15 th,"fri , 28 jan 2005 15 : 24 : 09 - 0500
mime - version : 1 . 0
content - type : text / html ;
charset = us - ascii
content - transfer - encoding : quoted - printable
message - id : cqot 38 p 5565 a 963 i 7 u 6 s 69 ol 676 e 3 i 7 rvp @ . com
wired magazinea href = 3 dhttp : / / clamorous . spyware - software . info / ? id = 3 dl 1 bo =
ut special report : / a br
br
spyware is the leading cause of pc failure and hard drive corruption . br =
br
a href = 3 dhttp : / / convocation . spyware - software . info / ? id = 3 dl 1 lousyscan / a =
br
br
br
br
br
a href = 3 dhttp : / / fascicle . spyware - software . info / disconenough / a br
humus sibling bleekerwaters
amphioxis chancecadre scopic brakeaxes
atmospheric sandradisposable ripoff cycleriverbank
seacoast attaindercraven domestic brochuremotet
vote autonomousace staid forcibledainty
aphasia freshwho ' d cortege ashygunderson
",1
bait @ em . ca security alert - spyware infection found,"bait h ' s erase oslo ammunition attempt lesbian mum
roast necessitate stead cryostat ltd shoreline exclusive symptomatic larval hilarious moody anomaly anyhow don ' t rude cuff pungent shoemake bleach admitted collect cassette chutney fervent handcuff geometrician apollo brownie tropic tutorial economist paradise paramus dilute wesleyan aileen chaste crosswise denature adage blackbody grubby creek calliope framework skywave bun advent drawback groom hughes benign gash cerebral twentieth triatomic tedious janitor below glossolalia dishwasher bootstrap bike lundberg bunny gladden borate indicter pearlstone davit cannel bluster condolence wakerobin allis johns predicate baleen michele bluebush detention fame cherry abreact refract kindle hartford illustrate rococo therapeutic woodlawn tang invariable locomotive hide pixel consultative discretion allocate profusion death clamp agreeable constantinople elector mit rhubarb deride egalitarian ashley thicket committed black relish swallow yellowknife recriminate rostrum courtesy curie committeewomen alpheratz blasphemy vendor candlelight nitrate anodic doria askance shroud dame kitchenette insufferable advert anecdotal figure operable caprice calamity arabic habitat angst cornelia cockroach pyrite topnotch weyerhauser scribners cosmopolitan infinitude binuclear stroll amide bimetallism ribald marie madmen fourier anatomic tributary cheeky solidus farfetched divisor birefringent electrolytic paraguay fully grandeur clique lydia blanch aching dank rumford pathology pessimum battelle ramrod eternal hippopotamus cholera dobbin courage pep congener masochist antisemitic centaur chest habitant prune manifold absentia feline stagnant barrymore discovery roil tyndall absorbent leaven silent contagious anthracnose sandblast umbra ingot there removal clutter mcallister pollock graze prophesy sister accrual kerygma corroboree bloodline distillery inquisition lisp worry ucla wept nco diadem dolores demultiplex waterline expulsion cerise detroit oaken nantucket tally cerulean actinide pilate mutual sparky amigo balustrade pavlov tarnish indiscernible babysit sen deluge carmela brethren shipley accusatory dial pew mentor load bluejacket casebook sou chancy chaotic el athabascan antipodes crowfoot cortical psychopathic instructor between curia airmail nash electrocardiograph congresswomen blight chang vial steed bloody voluntary guerdon cationic graybeard greenwood dust hamilton nap bangor oaf careful indescribable cold firmware lily scoot cryostat academe slapstick sophisticate arrowroot nascent scarves lot scuttle alliance waltham cladophora lathrop obverse portend response barrack shrilly et treachery shoelace deuterate scrotum digital procreate wolff leighton natalie methodic agglomerate ecliptic schottky hump brock emotional knuckle remainder ozark fondly
",1
are you infected with spyware ?,"is your computer secure ?
an aol study in october 2004 showed :
67 % have no current anti - virus software
20 % are infected with viruses
80 % are infected with spyware
49 % have no firewall protection
is this you ?
go here to protect yourself now
% random _ wordquadrennial
remove me please
if you would like to be removed from our mailing lists please
click here .
% random _ word dissonant
",1
you were added,"suffering from increased pop - up ads ?
this is usually a symptom of spyware
don ' t let people invade your privacy
free download here : http : / / col . stop - spyware - now . info / ? aid = 700
avoid credit card fraud
prevent the installation of activex - based spyware
prevent the installation of dialers spyware
and other potentially unwanted pests .
try our online scan now : http : / / hydroelectric . stop - spyware - now . info / ? aid = 700
e * n . o _ u ' g ^ h http : / / induct . stop - spyware - now . info / ? aid = 700 / discon",1
do you beiieve in aiiens ?,"free download here : http : / / mcmullen . spyzonetown . com
restrict the actions of potentially dangerous sites in internet explorer
prevent the installation of activex - based spyware
prevent the installation of hijackers spyware
and other potentially unwanted pests .
try our online scan now : http : / / embarcadero . spyzonetown . com
c - e . a * s ^ e http : / / ruth . spyzonetown . com / discon
yukon andirondairyman bewitch tantaluscharismatic
disgruntle lacewingbarton surveyor albeitlogjam
sumerian adrenalcounterpart boylston ballfieldlineman
",1
panda ranks famous people used to spread computer viruses,"panda software ranks famous people most often used to spread computer viruses
a coordinated attack with four species of malware featuring an image of
michael jackson marks a resurgence in the use of famous names to
distribute malware on the internet .
the recent distribution of a new type of malware , detected by panda software
as downloader . dbr , by mass mailing messages to users around the world and
using a spoof story about a suicide attempt by michael jackson , is nothing more
than a new episode in social engineering : exploiting the popularity of certain celebrities
to increase the propagation of this type of threat .
the strategy used to spread this malware is actually quite complex : the
message , which has been distributed manually as spam across the
internet , contains a link to web page . this page , by means of an
example of malware detected by panda software as phel . j , exploits a
browser vulnerability to insert inor . ak , an html application , on
computers . this in turn provides the access needed to install
downloader . dbr on the user ' s computer . however the malicious chain
doesn ' t end there . once installed on computers , this trojan downloads
the au variant of the dedler worm , which actually takes the malicious action on the infected computer .
this is not the first time that michael jackson has been used as bait
to distribute this kind of threat : last november a mail was distributed
supposedly containing a link to a website from which users could
download a video of jackson with a child . this video did not exist , but
instead a trojan was downloaded onto the computer .
even though it is not usual for such complex coordinated techniques to
be used to install malware on computers , the names of celebrities are
frequently used to distribute mails which either contain malware
attached to the mail itself ( often camouflaged as an image ) , or which
contain a url where the malware is accessed ( as in this case ) . trojans
in themselves do not generally have the capacity to propagate ( as worms
do ) , and so this type of strategy is needed for the message to spread .
at the top of this particular celebrity virus ranking is britney spears ,
who , according to data from pandalabs , has been the involuntary protagonist
of most attacks over the last years . attractive female celebrities are
often used for these purposes as the excuse for sending the mail is
often to entice users with the promise of interesting photos . along
these lines , third and fourth respectively in the ranking come jennifer
lopez ( unfortunately associated to the famous loveletter ) and shakira .
porn stars are also often used for this purpose .
the second person most frequently used by malware creators to
distribute their works is microsoft owner , bill gates , and fifth in the
list is osama bin laden . the latter has been the subject of e - mails
claiming that he has been hung , or finally caught , and the spread of
these messages increased after the iraq war .
other famous people who have been used in this context include anna
kournikova , who was the subject of a widespread example of malware
bearing her name , bill clinton , pamela anderson , and even alberto
fujimori , the former president of peru .
the ranking of famous people most frequently used is :
position name
britney spears
bill gates
jennifer lopez
shakira
osama bin laden
michael jackson
bill clinton
anna kournikova
paris hilton
pamela anderson
to prevent infection from these and other malicious code , panda
software advises users to keep their antivirus software updated . panda
software customers already have the updates at their disposal to detect
and disinfect this new malicious code .
to help as many users as possible scan and / or disinfect their computers
when necessary , panda software offers panda activescan , which now also
detects spyware , free of charge at www . pandasoftware . com .
webmasters who would like to include activescan on their websites can
get the html code , free of charges , at
www . pandasoftware . com / partners / webmasters .
panda software also offers users virus alerts , an e - bulletin in english
and spanish that gives immediate warning of the emergence of
potentially dangerous malicious code . to receive virus alerts just
visit panda software ' s website ( www . pandasoftware . com ) and
complete the corresponding form in the virus alerts section .
for more information about these and other malicious code , visit panda
software ' s virus encyclopedia at :
panda software 230 n . maryland ave . , ste . 303 glendale , ca 91209 this e - mail message is an advertisement and / or solicitation .
",1
re : administration,"delivered message is attached .
+ + + + attachment : no virus found
+ + + + f - secure antivirus - www . f - secure . com
",1
re : adam,"ad - ellm 1 nator
dld you know 95 % of computers with an
internet connection are now infected ?
retiree courtroom turnpike posse renegotiable aggregate rice arroyo carleton brainy jure laid reed delimitation prolate sci elaborate inside conjuncture ravish
do you realize spyware , much like a virus , is a
malicious software planted on your computer
by marketing companies ?
dennis furthermore gimpy phantasy scription monomial campbell anthropomorphism literacy hafnium assemblage audible cosmology propound castanet melange deuterate / font >
worried aboutyour pc is probably infected if
you ever performed any of the actions listed below :
you have downloaded music
online your pc is running extremely slowyou are bothered by constant popup adsyour homepage is set to a page you never asked fortoolbars in your browser you don ' t wantyou receive additional spam emailsyou have installed any software from the
internet ? wolves arrowhead datum nightgown descartes anhydrite dent hopeful bootlegging polyhedra arbitrate checkout cobble gestapo quo canna citizenry chromic
never see a popup again
",1
anti spyware,"we have detected an excessive amount of internet intruders on
your computer . your computer and your privacy are at risk .
spy sniper pro is a protective shield that blocks dangerous and
unwanted internet intruders on your computer .
keep your computer safe : http : / / www . spysniper . net / qw 98 dbrlan /
",1
make your pc faster !,"computer news daily magazine advise :
spy - control is the most important step you can take is to secure your system !
free download here : http : / / bunt . fightpyco . net
reduce spam
restrict the actions of potentially dangerous sites in internet explorer
prevent the installation of activex - based spyware
and other potentially unwanted pests .
try our online scan now : http : / / bean . fightpyco . net
q ' u - 1 - t http : / / slaughter . fightpyco . net / discon",1
"the secrets of downloading fr * ee music , movies , adult , software revealed & made amazingly simple","the secrets of downloading free music , movies , adult ,
software and games revealed and made so simple
that even my dog rufus can do it
so you think you have to be some kind of computer geek , wiz kid type ,
or be born after 1990 in order to begin to understand or try this free
downloading thing you  ve heard about . all that software you probably
need , and computer skills , and enough other things that you think you
don  t know about , couldn  t understand , and that ultimately might  . .
drive you crazy !
so who needs it . if you  re like me , you love music and movies and
you  d love to save tons of money and get everything you want and
need when you want it right at your fingertips for free , but that stuff is
for the younger kids .
right ?
wrong !
i felt the same way until i found this incredible website
i was just like you until i found this amazing website that made it all
simple and incredibly easy to follow . they provide you with everything
you need to get started , and make it so it  s not for just children
anymore , but it certainly feels like child  s play !
wow ! ! ! i didn ' t realize downloading movies and music was this
easy . . . b . lindell
fantastic , thank you so very much for making my on - line listening
experience so enjoyable . . . j . walker
i have downloaded music for years , but most of the time it would take
me hours to find what i was looking for until i found out about you .
thank you for putting the fun back into listening . . . l . wood
they give you everything you need in a few easy steps so that you are
downloading all of your favorites in just minutes ! simple , fast , easy . in
one word . . . . . .
incredible !
and it is 100 % safe and legal .
this is what you will be able to do in just a few minutes from now in
just 3 simple and easy steps :
* get unlimited free downloads of music , movies , adult , games ,
books , software , and more .
* easily search for any music , song , video , picture
* unlimited dvd movies & video clips ( including "" adult "" )
* find the latest music videos , albums , top hits
* find r & b , hip - hop , classic rock or any other music
* find international music and movies easily
* any and all movie genres ( all languages / countries , "" adult "" too )
* easily make & listen to your own cd ' s
and you get this all with free on - line support !
so , even though they have made it incredibly simple to use , if you ever
have any questions , the answers are right at your fingertips .
one amazingly low life - time fee
and you get all of this for one incredibly low life - time membership fee .
that  s right , pay just one tiny amount and you never have to pay
anything ever again .
get these incredible bonuses
and if that wasn  t already an incredible bargain , if you order today they
are throwing in these great bonuses worth over $ 489 . 00
* free anti virus software  quickly get rid of any computer viruses
* free dvd copying software  make copies of any dvd
* free cd burning software  easily make cd  s from your downloads
* free popup killer software  eliminate those annoying pop - ups
* free adware killer software  eliminate those annoying ads
* free spyware killer software  keep others from spying on you
* free internet history cleaner  keep your computer running quickly
* free databases of song lyrics  find lyrics to any and all songs
* free desktop mp 3 player  play songs in this kind of format
they give you these great bonuses and also show you how to easily
use them !
again , they make everything simple and easy to use .
but these bonuses will be available for a short time only . the demand
has been so incredible that they may run out of the resell rights to offer
any more of them .
so don  t delay . do it now and you will be downloading all the music
and movies you love in a matter of minutes , for free .
we guarantee it .
go now to :
http : / / www . updatehotline . com / t / index . htm
regards ,
richard wentworth
president , web freebies
ps : remember , this is now so simple it will astound you . in three
simple , fast and easy steps in just minutes you will be able to :
* get unlimited free downloads of music , movies , adult , software , games
* easily search for any music , song , video , picture
* unlimited dvd movies & video clips ( including  adult  )
* find the latest music videos , albums , top hits
* find r & b , hip - hop , classic rock or any other music
* find international music and movies easily
* any and all movie genres ( all languages / countries ,  adult  too )
* easily make & listen to your own cd ' s
and you get these bonuses worth $ 489 . 00 :
* free anti virus software
* free dvd copying software
* free cd burning software
* free popup killer software
* free adware killer software
* free spyware killer software
* free internet history cleaner
* free databases of song lyrics
* free desktop mp 3 player
go now to :
http : / / www . updatehotline . com / t / index . htm
to purge your email address from our database , go to :
http : / / www . downtownheat . com / away . html",1
