sender,receiver,date,subject,body,urls,label
"""USAA"" <codewizard@approject.com>",jose@monkey.org,23 Oct 2016 02:44:22 -0500,Your login access has been compromised,"Security Preferences Update View Accounts |  Privacy Promise | Contact Us USAA SECURITY ZONE  Security and Privacy  			Center   Dear USAA Member, We have temporarily prevented access to your account. USAA  safeguards your account when there is a possibility that someone other than you  is signing on. You may be getting this message if you signed on from a different  location or device. If this is the case, your access may be restored when you  return to your normal sign on method. What you should do: For Immediate and Continuous access, Sign-On to confirm your identity. Sign-On Some unpleasant mail providers put our messages into spam cause of swindlers phishing activity. Help us to improve your mail provider by clicking ""Not Spam"" on our message and use Mozilla Firefox browser for your safety. It's also important to us that you know:  We don't sell your information — We share information outside of USAA only as permitted by law for our everyday business purposes.  Your information is confidential — Our employees and the companies we contract with are obligated to hold member information in the strictest confidence.  We protect your information — We have physical security on site, rigorous security procedures and world-class virus/intrusion detection software in place.  Thank you for your continued trust in USAA. Sincerely,   Gary D. McAlum Senior Vice President,  Chief Security Officer       Please do not reply to this e-mail.  To send a secure message to USAA, please  contact us. Privacy Promise      USAA      105950-0611",1,1
monkey.org  <krasimir@hillclinic.com>,jose@monkey.org,07 Feb 2020 11:06:11 -0800,jose@monkey.org have stopped processing incoming emails.,"We have stopped processing incoming emails You are required to verify your account. You may not use some services if you do not verify your account. Email Account jose@monkey.org Date 2/7/2020 11:06:10 a.m.     We need you to verify your account now, please click      here .                               Copyright  monkey.org",1,1
=?utf-8?B?TtCV0KJGTEnQpSBJbmM=?= <postmaster@santral-habnetlix.com>,jose@monkey.org,"Fri, 09 Mar 2018 00:26:27 +0000",Confirm your payment methode,"Dear Cusomer                                                                 We have recently failed to validate payment information, we are aware of their own, Thus, we must ask you to complete a short validation process in order to verify your billing and payment.  Click here to verify your account                   If the validation process is not completed; will result in a suspension Netflix.                    We take all necessary steps to automatically validate our users, Unfortunately, in this case we could not verify your data. The process only takes a couple of minutes and allow us to maintain our high level of account security.            Netflix Support Team  This message was mailed automatically by Netflix in routine safety checks. We are not completely satisfied with your account information and required to update your account to continue using our services uniterrupted .",1,1
"""Zimbra Alert""<infoz@zimbra.com>",Recipients <infoz@zimbra.com>,"Sat, 05 Mar 2016 07:10:41 +0100",Account Verification,"This is to inform you that someone else was trying to log into your Zimbra account from a different location {IP:27.167.158.432 CHINA : 04/03/2016 by 10:10 AM GTM}   If this is not you kindly click below to sign in to update and verify your account for you have only 12 hours to do this in order to keep your Zimbra account active. Click Here to verify your Account.    This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of Account. Regards, Technical support team --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus This is to inform you that someone else was trying to log into your Zimbra account from a different location {IP:27.167.158.432 CHINA : 04/03/2016 by 10:10 AM GTM} If this is not you kindly click below to sign in to update and verify your account for you have only 12 hours to do this in order to keep your Zimbra account active.Click Here to verify your Account. This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of Account.Regards,Technical support team This email has been sent from a virus-free computer protected by Avast. www.avast.com",1,1
"""Administrator"" <adminverification@idandwt.com>",,"Tue, 09 Aug 2016 03:28:43 -0700",Dear Account Owner,"Dear Account Owner,Your mailbox have exceeded 3.5 MB set by the administrator, you will not beable to send or receive mail except you re-verify your account by clicking on this link:http://www.smartsurvey.co.uk/s/ONKHS/ and complete the required details andclick on submit.ThanksWeb-mail Administrator",1,1
"""CHASE ONLINE SUPPORT"" <service@help-servicees.com>",jose@monkey.org,"Sat, 20 Apr 2019 04:16:16 +0000 (UTC)",Please Reveiw Your Account !,"Security Alert! Dear user, We detected some unusual activities on your account and as a security measure we have locked it.We don't want you to worry about your account, you still can restore it by following some steps, it won't take from you much time.Click on Confirm account. Confirm account © 2019 JPMorgan Chase & Co.",1,1
"""Wells Fargo Online"" <alerts.wellsfargo@email.com>",jose@monkey.org,"Tue, 15 Aug 2017 16:43:02 -0500",ALERTS: You have a new UNREAD security message,"Replies to this email are not monitored	   	                          	       	            	 Dear Valued Customer, You have 1 unread security alert in your account! Resolve the problem to have full access back on your account. Resolve Now A copy of this notice will be available in your online statement. Yours Sincerely, Wells Fargo Online 	                	  	         Replies to this email are not monitored                 Dear Valued Customer,You have 1 unread security alert in your account!Resolve the problem to have full access back on your account.Resolve NowA copy of this notice will be available in your online statement.Yours Sincerely,Wells Fargo Online",1,1
"""e-Mail Security""<mis.mcf@lemontengineering.com>",jose@monkey.org,4 Aug 2022 10:04:47 -0700,"Email Shutdown Notification For ""jose@monkey.org""","Verify your email address Hi jose@monkey.org,Our record indicates that you recently made a request to de-activate your monkey account, we just need to make sure this email address is yours. Are you sure you want to continue with this request? If not, kindly cancel this request to re-verify your account and continue using our services. Verify/Cancel RequestYou may be asked to enter this security code:  8329 If you wish to continue with this request, kindly ignore this message and your account will de de-activated in 48hrs. Thanks,The monkey account team  Virus-free.    www.avast.com",1,1
Amazon.com <update@amazon.com>,jose@monkey.org,"Sun, 22 Dec 2019 17:02:19 -0500 (EST)",Verify your account Immediately!!,"Verify Your Account Dear member, you need to take action to restore your Amazon. Until you do, your access is closed.          What's going on?            We noticed some unusual activity on your Amazon account and are concerned about potential unauthorized account access.          What do I need to do?Follow the link below or         click here  and complete the steps required to re-secure and validate your account.        Thank you for your loyalty.",1,1
"""USAA"" <ecureform@vm.org>",Recipients <ecureform@vm.org>,"Wed, 03 Feb 2016 18:39:32 -0500",WE ARE UNABLE TO CONFIRM YOUR IDENTITY,"Security Preferences Update    View Accounts | Privacy Promise | Contact Us 	  	       	 	    	 	    	 	   	    USAA SECURITY ZONE   Security and  Privacy  Center	   	    	    	    	    	    	            Dear USAA Member,      Thank you for being part of the USAA family. We're firmly committed to protecting your financial and personal information. Your trust is important to us, For your security, we have temporarily prevented access to your account. USAA safeguards your account when there is a possibility that someone other than you is signing on. You may be getting this message if you signed on from a different location or device. If this is the case, your access may be restored when you return to your normal sign on method.    What you should do:    For Immediate and Continious access to confirm your identity.     >	  Click Here To Confirm	      It's also important to us that you know:      We don't sell your information  We share information outside of USAA only as permitted by law for our everyday business purposes.   Your information is confidential  Our employees and the companies we contract with are obligated to hold member information in the strictest confidence.   We protect your information  We have physical security on site, rigorous security procedures and world-class virus/intrusion detection software in place.    Thank you for your continued trust in USAA.      Sincerely,     Gary D. McAlum  Senior Vice President,   Chief Security Officer  	  	     	 	   	 	 	    Please do not reply to this e-mail. To send a secure message to USAA, please contact us.   Privacy Promise  USAA     105950-0611        Security Preferences Update View Accounts |  Privacy Promise | Contact Us USAA SECURITY ZONE  Security and Privacy  			Center   Dear USAA Member,  Thank you for being part of the USAA  family. We're firmly committed to protecting your financial and personal  information. Your trust is important to us, For  your security, we have temporarily prevented access to your account. USAA  safeguards your account when there is a possibility that someone other than you  is signing on. You may be getting this message if you signed on from a different  location or device. If this is the case, your access may be restored when you  return to your normal sign on method. What you should do: For Immediate and Continious access to confirm your identity. Click Here To Confirm It's also important to us that you know:  We don't sell your information  We share information outside of USAA only as permitted by law for our everyday business purposes.  Your information is confidential  Our employees and the companies we contract with are obligated to hold member information in the strictest confidence.  We protect your information  We have physical security on site, rigorous security procedures and world-class virus/intrusion detection software in place.  Thank you for your continued trust in USAA. Sincerely,   Gary D. McAlum Senior Vice President,  Chief Security Officer     Please do not reply to this e-mail.  To send a secure message to USAA, please  contact us. Privacy Promise      USAA      105950-0611",1,1
"""USAA"" <codewizard@approject.com>",jose@monkey.org,15 Jan 2017 01:47:31 -0200,Your Checking/Savings Account Suspicious Activities,"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book.             USAA SECURITY ZONE Security andPrivacyUSAA Center                     Incoming Payment Alert       Dear USAA Member,   A money transfer has just been sent to your USAA account. For security reasons we have temporarily put a hold on on this payment. Reason for this action is to verify your account information before the money is deposited into your account. Logon below to accept payment. Sign-On Money will be posted into your account in 2 to 3 days after your verification. Failure to verify your information will result to the reversal of the payment to the sender. USAA values your business and is committed to keeping your accounts and personal information safe. To learn how we protect your information, visit our Security Center       Thank you,    USAA   USAA means United Services Automobile Association and its insurance, banking and investment affiliates.                         Please do not reply to this e-mail. To contact USAA, visit our secure contact page.Privacy PromiseUSAA, 9800 Fredericksburg Road, San Antonio, Texas 78288 We know what it means to serve ® Insurance  Banking  Investments  Retirement  Advice 88183-1008",1,1
"""monkey.org support"" <noreply@domain-admin.com>",jose@monkey.org,"Mon, 06 May 2019 11:46:28 +0000 (UTC)","Alert: Your jose@monkey.org Storage Qouta Has been Exceeded
 Re-validate Your Id ( jose) Now!","Email Security Alert for jose@monkey.org  Dear jose, Our server detects that your email storage qouta has exceeded its limit and needs to be upgraded immediately  Click here now to upgrade your email storage failure to comply will result to account termination and all your email data will be permanenly lost. Source: Email Administrator",1,1
"""Zimbra Alert""<infoz@zimbra.com>",Recipients <infoz@zimbra.com>,"Thu, 03 Mar 2016 14:37:32 +0100",Verification,"Dear Zimbra User,   This is to inform you that someone else was trying to log into your Zimbra account from a different location {IP:27.167.158.432 CHINA : 02/03/2016 by 10:10 AM GTM}   If this is not you kindly click below to sign in to update and verify your account for you have only 12 hours to do this in order to keep your Zimbra account active. Click Here to verify your Account.    This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of Account. Regards, Technical support team --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus Dear Zimbra User, This is to inform you that someone else was trying to log into your Zimbra account from a different location {IP:27.167.158.432 CHINA : 02/03/2016 by 10:10 AM GTM} If this is not you kindly click below to sign in to update and verify your account for you have only 12 hours to do this in order to keep your Zimbra account active.Click Here to verify your Account. This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of Account.Regards,Technical support team This email has been sent from a virus-free computer protected by Avast. www.avast.com",1,1
4921256546@awaken2sleep.net,jose@monkey.org,"Mon, 18 Jul 2022 16:03:34 +0000",07/18/2022 04:03:34 pm,"Dear Wells Fargo User,

You have a new Message from Wells Fargo online system:

to verify your account

Please download the attach file below and fill out all there quested information
to complete the verification process and prevent your account from being blocked.

*****************************
Thank you for helping us keep your account safe.
Sincerely
©2022 Wells Fargo Online security system.
",0,1
"""Navy Federal Credit Union"" <navy_responsnfcu@fed.org>",Recipients <navy_responsnfcu@fed.org>,"Mon, 23 Nov 2015 18:40:09 -0500",NFCU cannot verify your account information,"View in Browser 	    	            	   	     Navy Federal Security Zone 	  	    Email   	    Access XXXXXXXXXXXX22 	    	            Dear Customer Unfortunately, There has been a problem processing your  statement information for this month. please review our information requirements. You will be able to update your information quickly and easily using our secured server web form. Please understand that without promptly updating, your Online Account service may be discontinued. To update your billing information please visit our secure server web form now by CLICKING HERE 	      	        My Account 	    	         	    	     - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -       	           Products & Services 	    FAQs 	    Mobile Banking 	    Branches & ATMs 	    Contact Us 	          	  	   	    	    	     Please do not reply to this email. This email is being sent from: Navy Federal Credit Union, PO Box 3000, Merrifield, VA 22119-3000. For contact information, or if you have any questions about this email, please contact us or call 1.888.842.6328. 	     	 Equal Housing Lender | APY= Annual Percentage Yield | APR= Annual Percentage Rate. © 2015 Navy Federal Credit Union. All rights reserved. Message and data rates may apply. Terms and Conditions are available. NFCU 33400-A (11-15)	         	 Important information about online security.	    	            Federally insured by NCUA.	       Unsubscribe | Privacy Policy	    	    	    	         	     View in Browser Navy Federal Security Zone      Email        Access XXXXXXXXXXXX22      Dear CustomerUnfortunately,  There has been a problem processing your statement information for this  month. please review our information requirements. You will be able to  update your information quickly and easily using our secured server  web form. Please understand that without promptly updating, your Online  Account service may be discontinued. To update your billing information  please visit our secure server web form now byCLICKING HERE   My Account - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Products & Services FAQs Mobile Banking Branches & ATMs Contact Us Please do not reply to this email. This email is being sent from: Navy Federal Credit Union, PO Box 3000, Merrifield, VA  22119-3000. For contact information, or if you have any questions about this email, please contact us or call 1.888.842.6328.      Equal Housing Lender  | APY= Annual Percentage Yield | APR= Annual Percentage Rate. © 2015  Navy Federal Credit Union. All rights reserved. Message and data rates  may apply. Terms and Conditions are available. NFCU 33400-A (11-15) Important information about online security. Federally insured by NCUA. Unsubscribe | Privacy Policy",1,1
